Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Not being able to have play dates, go the the park and other social outing opportunities with my kid. It helps Keep me more emotionally healthy and helps my kid learn to adapt to different people, environments and behavior.;"isolation/confinement; parent's well-being; children's behavior; children's socialization";"Routine changes; Isolation/Confinement";"confinement; routine changes; children's socialization; parent well-being";"Confinement; Routine Changes; Children's Socialization; Parent Well-being";;;;;;;
Never getting a break from parenting and having to do work while parenting.;"parenting exhaution; balancing work and parenting ";"Parenting exhaustion; Balancing work and parenting";"Parenting exhaustion; Balancing work and parenting";"Balancing work and parenting; Parenting Exhaustion";;;;;;;
Trying to work on things that can't be postponed/put off (I'm a state employee) with no childcare. I feel terrible being so divided at both work and as a parent. I'm also 8 months pregnant, and that adds another level of anxiety for myself and my kids. My husband is in healthcare and works in settings with COVID-19+ patients. It's scary and disheartening to need to think about whether or not he should be in the delivery room with me, if we should have the grandparents (who are vulnerable) come watch the older kids while I'm delivering and if not them, who? We have been doing strict social distancing, but the future is such a question mark. I try to keep myself focused on the moment, but with so much that needs to be planned for logistically with work and our growing family that can be challenging.;"balancing work and parenting; COVID worries; uncertainty";"Balancing work and parenting; Conflicting parental values and actions; COVID worries; Uncertainty";"Balancing work and parenting; Conflicting parental values and actions; COVID worries; Uncertainty";"Balancing work and parenting; Conflicting Parental Values and Actions; COVID-19 Stress and Worries; Uncertainty";;;;;;;
The hardest part for us parents is that we never get a break. The kids are sick of the parents (kind of) and the parents desperately need an hour (minimally) to themselves. When the kids go to bed we're exhausted so that does not really count.;"parenting exhaution; no alone time ";"parenting exhaution; no alone time ";"parenting exhaution; no alone time ";"Parenting Exhaustion; Lack of Alone Time";;;;;;;
Being with my kids 24/7.  Sometimes I want a little break but because of their ages, I cannot leave them home alone while I go for a walk or take a break.;"no alone time; parenting exhaustion ";"parenting exhaution; no alone time ";"parenting exhaution; no alone time ";"Parenting Exhaustion; Lack of Alone Time";;;;;;;
Helping my autistic child with everything he needs and is missing with his regular routines and programs. He is more aggressive and obsessive and it is hard to work with him and my other children. So it feels like I am failing everyone.;"routine changes; children's behavior; parenting well-being; access to supports/services";"Routine changes; Access to supports/services; Kids behavior; Parent well-being";"Routine changes; Access to supports/services; Kids behavior; Parent well-being";"Accessing services and supports; Routine Changes; Child Well-being; Parent Well-being";;;;;;;
getting work done cooking all the time;juggling multiple roles;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
No access to library/museums;isolation/confinement;Isolation/Confinement;confinement;Confinement;;;;;;;
No break from kids, and kids don't have break from each other.;"no alone time; children's well-being";"No alone time; children's well-being";"No alone time; children's well-being";"Lack of Alone Time; Children's Well-being";;;;;;;
Co-parenting in a situation with no child care other than myself and my partner. Dividing the work so we both feel supported.;"childcare/school closure; division of childcare?";"Parent well-being; Juggling multiple roles?";"childcare/school closure; access to services and supports ";"School and Childcare Closures; Accessing services and supports";;;;;;;
-home school -not having space between my kids;"schooling; no alone time";"Schooling; No alone time";"Schooling; No alone time";"Schooling; Lack of Alone Time";;;;;;;
So much! With two little kids and both of us working from home, it's very hard to get work done and also be fully engaged as a parent. My son also needs a nap every few days (he is 4) and fights us on it so that is very hard and leads to intense meltdowns which is hard to overcome - he is spirited kid. Exhaustion is so hard - it is nonstop and my kids always want mom. It's also hard to balance watching two kids by myself when my spouse works - they don't always want to do the same things and/or be in same places. Also so little, it can be hard to explain social distancing and the virus - they just don't understand fully why they can't see family and friends.;"balancing work and parenting; children' behavior; parenting exhaution; explaining COVID to children ";"Balancing working and parenting; Kids behavior; Routine changes; Parenting exhaustion; Explaining COVID to kids";"Balancing working and parenting; Kids behavior; Routine changes; Parenting exhaustion; Explaining COVID to kids";"Balancing work and parenting; Routine Changes; Kids' Behavior; Parenting Exhaustion; Explaining COVID-19 to Kids";;;;;;;
Balancing school needs with work. Time demands.;Balancing work and teaching;"Balancing working and teaching; juggling multiple roles";"Balancing working and teaching; juggling multiple roles";"Juggling multiple roles; Balancing work and schooling";;;;;;;
Balancing being a teacher, parent and employee at the same time.;juggling multiple roles;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Endless hours with the children. You see their happiness, sadness, frustration, exasperation, and I have all those feelings too, as a parent, but I cannot lean on my kids the way that they lean on me.;"no alone time; parent well-being";"No alone time; Parent well-being; Child well-being";"No alone time; Parent well-being; Child well-being";"Lack of Alone Time; Parent Well-being; Child Well-being";;;;;;;
Trying to keep calm and not yell when she will not give me a moment of privacy or when she won't stop breaking rules to test me. It is much easier to stay level headed when you have breaks.;"Controlling anger with children?; conflicting parental values and actions";"No alone time; parent well-being; conflicting parental values and actions";"No alone time; parent well-being; conflicting parental values and actions";"Lack of Alone Time; Parent Well-being; Conflicting Parental Values and Actions";;;;;;;
Constant worry over our health.  Baby got really sick since this started and I was incredibly anxious the whole time.  Still worry that my son will get sick or my husband and I will get sick and he'll be all alone.  We don't have family anywhere nearby, so what would happen if we both had to go to the ICU?;COVID worries ;COVID worries;COVID worries;COVID-19 Stress and Worries;;;;;;;
My son cannot interact with other kids and develop social skills/relationships.;"isolation/confinement; children's socialization ";"Confinement/Isolation; Children's well-being";"Confinement; Children's Socialization";"Confinement; Children's Socialization";;;;;;;
"1. My childs health checkups and vaccinations delayed. This worries me too much as a parent
2. I am not able to shop for clothes or any toys that help in the development of my child.
3. I don't take my child out for a stroller walk or show her the outside world fearing she might catch the virus
4. Overall mood of the family is down, less hopeful, and watching/hearing lots of bad news these days";"COVID worries; isolation/confinement; parent well-being; child well-being";"Routine changes; Access to services/supports; Confinement/Isolation; COVID worries; parent well-being; Child well-being";"Routine changes; Access to services/supports; Confinement/Isolation; COVID worries; parent well-being; Child well-being";"Accessing services and supports; Routine Changes; Confinement; COVID-19 Stress and Worries; Parent Well-being; Child Well-being";;;;;;;
Balancing work/home life.;juggling multiple roles ;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Keeping kids off the screens;excessive screentime?;HMMMMM -- conflicting parental values and actions? Schooling? Kids behavior?;excessive screentime ;Excessive Screentime;;;;;;;
The 5 year old misses school;childcare/school closures;"Child well-being; Routine changes";"Routine Changes; Missed Experiences and Activities";"Routine Changes; Missed Experiences and Activities";;;;;;;
Getting them all engaged;keeping child/family busy;Keeping child/family busy;Keeping child/family busy;Keeping Family Busy;;;;;;;
No help outside of home - no breaks for them or us. So much of the education being on the computer. Homeschooling 3 & 6 year old together. We don’t ever get everything done and trying to discern what really is most important.;"Access to services/support; schooling";"Access to services/supports; No alone time; Schooling";"Access to services/supports; No alone time; Schooling";"Accessing services and supports; Lack of Alone Time; Schooling";;;;;;;
The most challenging is trying to work remotely and parent at the same time.  I'm fortunate that my work is relatively flexible, but I consistently feel like I'm short-changing my work, not getting nearly enough done because of the distraction/interruptions of sharing workspace with my 10yr old and my husband.;balancing work and parenting;Balancing work and parenting;Balancing work and parenting;Balancing work and parenting;;;;;;;
No be able to let them go outside and play with friend or not letting extended family to help with them;"isolation/confinement; family separation ";"Family separation; Confinement/Isolation";"Family separation; Confinement";"Family Separation; Confinement";;;;;;;
Staying socially distant when making “emergency” trips to places such as grocery stores. Unfortunately there are still many people who think with a mask and gloves, there is no need for 6 feet. I am almost 8 months pregnant so I try to be more alert.;COVID worries ;COVID worries;COVID worries;COVID-19 Stress and Worries;;;;;;;
In the beginning, everybody was more stressed and irritable.  But as it moves on,we aren't as stressed as before.;No challenges??????;I don't know lol;No challenges ;No COVID-19 Challenges;;;;;;;
My oldest child is on the autism spectrum and is having an extremely difficult time with the pandemic in general. Parenting him and guiding him through his school work while also entertaining and engaging my 4 year old twins is exceptionally difficult. My husband works a traditional Mon-Fri job, and I am a nurse who works 2nd shift. Therefore, I never get any break. It makes it difficult to be constantly caregiving and have less access to resources for my children and myself.;"balancing parenting and teaching; no alone time; access to supports/services; keeping children busy";"Balancing parenting and teaching; keeping child/family busy; No alone time; access to supports/services";"Balancing parenting and teaching; keeping child/family busy; No alone time; access to supports/services";"Balancing parenting and schooling; Keeping Family Busy; Lack of Alone Time; Accessing services and supports";;;;;;;
No breaks from the kids! No activities outside the home for kids.;"no alone time; isolation/confinement";"No alone time; Confinement/Isolation";"No alone time; Confinement";"Lack of Alone Time; Confinement";;;;;;;
Isolation not seeing hugging others;isolation/confinement;Confinement/Isolation;isolation;Isolation;;;;;;;
Most challenging part is that I am working at home and they keep interrupting me when I am working. I feel so anxious about my work. I cannot meet the deadline of my work. I feel so frustrated about the situation of working at home.   I also feel guilty because I cannot play with my kids when they really need me and want to play with me because I have to work.   It is a really tough time in my life... So unsatisfied with the current situation because of working at home.;"balancing work and parenting; keeping up with work?; parening guilt";"Balancing working and parenting; Parent well-being; Conflicting parental values and actions";"Balancing work and parenting; parenting guilt";"Balancing work and parenting; Parenting Guilt";;;;;;;
No time for yourself.  Don’t know how to educate small children;"no alone time; schooling ";"No alone time; Schooling";"No alone time; Schooling";"Lack of Alone Time; Schooling";;;;;;;
I have a newborn born right when the chaos started, so not being able to get support from people and not being able to see family has been so hard.;"family separation; access to supports/services";"Family separation; Access to supports/services";"family separation; access to supports/services";"Family Separation; Accessing services and supports";;;;;;;
"Having to finish my law degree, work from home, be a second-grade teacher, and watch a three-year-old all at the same time.  We were not built for this.  I hate seeing all those commercials like oh you're doing so great.  No we're not.  It's a strange dichotomy; I love my kids and spending time with them, but as soon as school opens back up I'll be like love you bye have fun at school.";"juggling multiple roles; no alone time; parenting exhaustion";"Juggling multiple roles; Parenting exhaustion; parent well-being";"Juggling multiple roles; Parenting exhaustion; parent well-being";"Juggling Multiple Roles; Parenting Exhaustion; Parent Well-being";;;;;;;
Working from home in a demanding job while keeping my children engaged and off screens.;"balancing work and parenting; excessive screentime";"Balancing working and parenting; keeping child/family busy";"balancing work and parenting; excessive screentime; keeping kids/family busy";"Balancing work and parenting; Excessive Screentime; Keeping Family Busy";;;;;;;
I do not find it challenging at all. I am spending more quality time with my kid and I am very fond of her.;no challenges!!! ;Well that's great .... lol;No challenges ;No COVID-19 Challenges;;;;;;;
social isolation for both myself and my child.;isolation/confinement;Isolation/Confinement;isolation ;Isolation;;;;;;;
I am never alone. I don't require much alone time but since I don't have much choice or freedom in having it, it feels really challenging to have patience sometimes.;"no alone time; parenting exhaustion ";"No alone time; parenting exhaustion";"No alone time; parenting exhaustion";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
The most challenging part is being stuck at home during bad weather and not able to get outside or go anywhere other than inside the house.;isolation/confinement ;Isolation/Confinement;confinement ;Confinement;;;;;;;
School closed;childcare/school closure;Schooling;childcare/school closure;School and Childcare Closures;;;;;;;
Staying with children 24/7.;no alone time;Parenting exhaustion;"no alone time; parenting exhaustion ";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
Trying to work and parent/teach full time.;juggling multiple roles;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Working with the kids to work independently.  That they don't need a parent with them for everything.  There are times when my husband and I working and on important phone calls--and our kids don't get that we can't be interrupted.;"balancing work and parenting; children's behavior";"Balancing work and parenting; Kids behavior";"Balancing work and parenting; Parent-Child Tension and Conflict";"Balancing work and parenting; Parent-Child Tension and Conflict";;;;;;;
Being alone with just my child. Not being able to take a break and the pressure of catching up with work at the same time as watching my child and making sure she has a good time.;"parenting exhaustionl; no alone time; balancing work and parenting ";"Parenting exhaustion; Balancing working and parenting; No alone time";"Parenting exhaustion; Balancing working and parenting; No alone time";"Balancing work and parenting; Parenting Exhaustion; Lack of Alone Time";;;;;;;
Finding time to work;balancing work and parenting?;Balancing work with other tasks? Juggling multiple roles?;"Juggling multiple roles; Balancing work and parenting";"Juggling multiple roles; Balancing work and parenting";;;;;;;
Work life balance is essentially impossible. The best we can hope for is to try and get some things done during the day and work most nights. Trying to be present with them and realize that this is a fleeting gift.;"balancing work and parenting?; being present with children?";Balancing multiple roles --- I feel like there is something else here, but I'm not sure what;Balancing work and parenting;Balancing work and parenting;;;;;;;
Balancing parenting and getting schoolwork done.;balancing work and parenting ;Balancing parenting and teaching;Balancing parenting and teaching;Balancing parenting and schooling;;;;;;;
Working from home is a challenge. Even though my husband is a stay at home parent it's hard to be away from my daughter when she's so close by. Also my worries about her development of social skills and behavior for public places since she'll be spending so long away from others.;"balacning work and parenting; children's socialization; children's behavior";"Balancing working and parenting; Child's well-being";"balacning work and parenting; children's socialization; children's behavior";"Balancing work and parenting; Children's Socialization; Kid's Behavior";;;;;;;
the constant 24/7 - no breaks;no alone time ;parenting exhaustion;"no alone time; parenting exhaustion ";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
Trying to find the energy to keep up with their virtual schooling and get all their work done is difficult. Not being able to get outside and do things causes burn out faster for all of us.;"schooling; isolation/confinement";"Schooling; confinement/isolation";"Schooling; isolation";"Schooling; Isolation";;;;;;;
"Not getting alone time. Even when I'm ""alone"" working in my room, I still know that at any minute, someone can come in the room, asking for something, or I'm distracted by conversation going on outside my door. I miss my commutes of being alone in the car :).";no alone time;No alone time;No alone time;Lack of Alone Time;;;;;;;
Trying to supervise and entertain our 2 year old while managing the same amount of work as before the pandemic started, with no accommodation from my employer on work-related deadlines.;balancing work and parenting ;Balancing work and parenting;Balancing work and parenting;Balancing work and parenting;;;;;;;
Inability for them to interact with people outside of the family unit;isolation/confinement ;Confinement/Isolation;isolation;Isolation;;;;;;;
We are together ALL the time.  There is little space for separation and so we are constantly in each other's way or trying to get each other's attention.;no alone time ;No alone time;No alone time;Lack of Alone Time;;;;;;;
The same closeness that is a benefit is also the most challenging part. There is very, very little alone time in my home unless I leave the home for exercise reasons. Having little alone time is very taxing.;"no alone time; parenting exhaustion ";"No alone time; parenting exhaustion";"No alone time; parenting exhaustion";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
Keeping the kids busy and not arguing.;"keeping child/family busy; family conflict?";"Keeping child/family busy; Kids behavior";"Keeping child/family busy; Kids behavior";"Keeping Family Busy; Sibling Tension and Conflict";;;;;;;
My children cannot be left unsupervised. It is impossible to get anything done because they cannot be left alone for any amount of time. I work with people who do not seem to understand how challenging it is to have an infant and a toddler to care for. It's hard not to be resentful of my husband when I feel that his work responsibilities supersede my own.;"balancing work and parenting; family relationship? marital satisfaction? division of childcare?";"Balancing working and parenting; Family relationships? Conflict?";"Balancing working and parenting; coparenting conflict ";"Balancing work and parenting; Couple/Coparenting Tension and Conflict";;;;;;;
Being expected to work full time and be a full time mom while everything in the world is NOT OK. Even cooking, which I love, has become something I dread because it never stops.;"balancing work and parenting; parenting exahustion?";"Balancing working and parenting; COVID worries? Parent well-being?";"balancing work and parenting; parenting exahustion; COVID worries";"Balancing work and parenting; Parenting Exhaustion; COVID-19 Stress and Worries";;;;;;;
I can’t allow children go outside. We live in a small apartment and it’s not easy stay home.;Isolation/confinement ;Confinement/Isolation;confinement;Confinement;;;;;;;
Keeping up on schooling.  Missing doctor appointments and having to reschedule.;schoolingl routine changes;"Schooling; Routine changes?";"schooling; routine changes";"Routine Changes; Schooling";;;;;;;
Trying to do distance learning is the most difficult change for us- the kids miss their friends and have a hard time focusing for us.;"schooling ; isolation/confinement";"Schooling; Isolation/Confinement";"Schooling; Isolation";"Schooling; Isolation";;;;;;;
Having to focus on work and help my children learn. My younger child needs more help and guidance and I feel like she is missing out on some opportunities for learning in a public setting. My son also needs constant motivation and would rather be on an electronic playing games or watching TV.;"balancing work and teaching; excessive screentime";"Balancing working and teaching; child well-being";"balancing work and teaching; excessive screentime";"Balancing work and schooling; Excessive Screentime";;;;;;;
Adjusting to new routines while not being able to spend much time outside the home and participate in previously-planned activities.;"routine changes; isolation/confinement";"Routine changes; Confinement/isolation";"routine changes; iconfinement";"Routine Changes; Confinement";;;;;;;
Balancing work and parenting without daycare.;"balancing work and parenting; childcare/school closure";Balancing working and parenting;Balancing working and parenting;Balancing work and parenting;;;;;;;
Inability to meet work responsibilities. Lack of opportunity for self-care.;"keeping up with work; parent well-being; no alone time ";"Parent well-being; work expectations?";"Parent well-being; work expectations?";"Parent Well-being; Work Expectations";;;;;;;
Learning how to be together so much. In our all set up I got a lot of alone time and now I get almost none. Not getting that time makes me quicker to frustrate affects how I interact with the children. It’s also very difficult not to have answers for them. In general as parents we are able to give our kids the answers and there really aren’t any right now.  It’s also very difficult helping them navigate through so much disappointment and loss.;"no alone time; uncertaintly; explaining COVID to children";"No alone time; parent well-being; conflicting parental values and actions; Uncertainty; Explaining COVID to kids";"No alone time; parent well-being; conflicting parental values and actions; Explaining COVID to kids";"Lack of Alone Time; Parent Well-being; Conflicting Parental Values and Actions; Explaining COVID-19 to Kids";;;;;;;
not being able to take the kids out to play grounds even though they keep requesting to want to go out and see their friends.;isolation/confinement;Confinement/Isolation;Confinement;Confinement;;;;;;;
I am really worry about education,;"schooling ; isolation/confinement";Schooling;Schooling;Schooling;;;;;;;
Managing time, exposure, and expectations around recreational screen time.;"COVID worries; excessive screentime?";"Juggling multiple roles; COVID worries; Conflicting parental values and actions";"Juggling multiple roles; COVID worries; excessive screentime ";"Juggling Multiple Roles; COVID-19 Stress and Worries; Excessive Screentime";;;;;;;
I feel like I'm doing everything wrong, and am being judged for:  leaving the house, shopping with my child, wearing a mask/not wearing a mask, sending her to a babysitter while I work from home, not doing a good job home-schooling her, not providing the structure needed to succeed at home schooling, not being socially distanced enough, letting neighbor kids play in our yard.... all those things!;"COVID worries; parent well-being; balancing work and parenting; schooling; uncertainty";"Parent well-being; Uncertainty?";"COVID worries; parent well-being; uncertainty; parenting guilt ";"COVID-19 Stress and Worries; Parent Well-being; Uncertainty; Parental Guilt";;;;;;;
not being connected to social networks.. being able to socialize with other kids/attend programs like kids at the rotunda.;"isolation/confinement; access to suppots/services";"Access to supports/services; Isolation/Confinement";"Access to supports/services; Confinement";"Accessing services and supports; Confinement";;;;;;;
Working from home and virtual schooling. Screens do not lead to good behavior and my kids have had so much screen time.;"balancing work and teaching; excessive screentime; children's behavior ";"Balancing work and teaching; Kids behavior";"Balancing work and teaching; Kids behavior; excessive screentime";"Balancing work and schooling; Kid's Behavior; Excessive Screentime";;;;;;;
Not being able to keep my kids physically active or mentally stimulated;keeping child/family busy ;Keeping child/family busy;Keeping child/family busy;Keeping Family Busy;;;;;;;
I don't get a break from parenting, I have to be extra cautious with my au pair that she is doing well and it is a lot to shoulder with the challenges of working at the same time - I manage 12 social workers and I am drained emotionally and mentally often. It is hard to strike a balance and focus on self-care as a single parent during all of this. Co-parenting is very hard. my one co-parent was very difficult and adamant on keeping the kids for over a month's time - this was outside of the typical schedule where that parent should have had 6 days and the court system is closed and the police don't help in these situations. It is stressful to figure out.;"parenting exhaustion; parent well-being; balancing work and parenting; routine changes";"parenting exhaustion; balancing workign and parenting; COVID worries; parent well-being; routine changes; family relationship conflict";"parenting exhaustion; balancing workign and parenting; COVID worries; parent well-being; routine changes; family conflict";"Parenting Exhaustion; Balancing work and parenting; COVID-19 Stress and Worries; Parent Well-being; Routine Changes; Family Tension and Conflict";;;;;;;
Trying to keep my child busy and up to date with school and learning;"keeping child/family busy; schooling ";"Keep child/family busy; Schooling";"Keep child/family busy; Schooling";"Keeping Family Busy; Schooling";;;;;;;
Not having my village of support.;"Access to services/support; schooling";Access to supports/services;Access to supports/services;Accessing services and supports;;;;;;;
Getting the kids to understand the obsessiveness of washing hands, not being able to be social with friends and go places.;"explaining COVID to children; isolation/confinement";"Explaining COVID to kids; Isolation/Confinement";"Explaining COVID to kids; Isolation";Explaining COVID-19 to Kids;;;;;;;
Working from home & needing your parent and teach at the same time.;juggling multiple toles ;Juggling multiple roles;Juggling multiple roles;Juggling Multiple Roles;;;;;;;
balancing working at home and individual needs of each child for their virtual learning in addition to normal household running. being distracted with work needs when parenting, and parenting needs when working.;"balancing work and parenting; schooling ";"Juggling multiple roles; Schooling; Balancing working and parenting";"Juggling multiple roles; Schooling; Balancing working and parenting";"Juggling Multiple Roles; Schooling; Balancing work and parenting";;;;;;;
Balancing work and childcare. Constantly feeling like I’m ignoring one or the other.;balancing work and parenting;Balancing working and parenting;Balancing working and parenting;Balancing work and parenting;;;;;;;
Trying to be the best parent I can while dealing with anxieties that I don't want them to have. I am also 19 weeks pregnant with baby #3, so that adds another level of unknown and anxiety.;"parent well-being; uncertainty ";"Conflicting parental values and actions; parent well-being; uncertainty";"Conflicting parental values and actions; parent well-being; uncertainty";"Conflicting Parental Values and Actions; Parent Well-being; Uncertainty";;;;;;;
Homeschooling. Trying to get my work done from home still 8 hours a day plus doing support 24/7 as well as trying to get my kids to do school work, which they have no interest in, and trying to find time between work and school work to play and have a good time and enjoy each other.;"schooling ; balancing work and parenting";"Schooling; jugglign multiple roles; balancing working and teaching";"Schooling; jugglign multiple roles; balancing working and teaching";"Schooling; Juggling Multiple Roles; Balancing work and schooling";;;;;;;
Not getting to see their other family members like cousins and grandparents. They have cousins exactly their age.;family separation ;family separation;family separation;Family Separation;;;;;;;
"Our son is constantly there, and I don't like feeling annoyed by that. One of the many reasons I opted to work and not be a stay-at-home parent was because I hated how I was always trying to get a break from my kid during my maternity leave. I *like* missing my son, because it feels good to see him again. Resenting my kid because he's always there, and constantly looking for reasons to get away from him--that doesn't feel great, as a parent.

I'm also just worried that we're not doing enough with my son. Normally he goes to preschool three times per week, has a swim class once per week, and gets to socialize at the park and the library. But now, he's trapped inside with no other kids and he's not really old enough to start new projects or activities by himself. I have to work all the time, and my husband is exhausted by now, so we're not doing all the cute, educational stuff other people seem to be doing all the time.";"parenting exhaution; no alone time; childcare/school closure; isolation/confinement; keeping family/child busy";"No alone time; parent well-being; confinement/isolation; Keeping child/family busy; conflicting parental values and actions";"No alone time; parent well-being; confinement; Keeping child/family busy; conflicting parental values and actions";"Lack of Alone Time; Parent Well-being; Confinement; Keeping Family Busy; Conflicting Parental Values and Actions";;;;;;;
It is challenging to be at home while working full time and monitoring school work for my child.  The role of parent, employee and teacher have been difficult.  I also worry about the emotional and physical health of my family.;"balancing work and teaching; juggling multiple roles; COVID worries; family well-being?";"Juggling multiple roles; COVID worries";"Juggling multiple roles; COVID worries";"Juggling Multiple Roles; COVID-19 Stress and Worries";;;;;;;
Trying to parent full time and be a full time student;balancing work and parenting ;Balancing working and parenting;Balancing working and parenting;Balancing work and parenting;;;;;;;
My son misses his friends. It is hard to keep him occupied at home.;"isolation/confinement; keeping child/family busy";"Isolation/Confinement; Keeping child/family busy";"Isolation; Keeping child/family busy";"Isolation; Keeping Family Busy";;;;;;;
I am still expected to work full time so balancing parenting and work is a challenge. I also feel frustrated when we are having a bad day that there is no relief (i.e. return to daycare) in sight.;"balancing work and prenting; parenting exhaustion; childcare/school closure";"Balancing working and parenting; no alone time";"Balancing working and parenting; no alone time";"Balancing work and parenting; Lack of Alone Time";;;;;;;
Dealing with the emotional impact it has had on our son. The huge shifts from sadness to angry but mostly the high level on anxiety and fear tht is evident through all of it inspire of efforts to reassure him, teach him  additional positive coping methods to what we already have introduced and practice.;"children well-being; explaining COVID to children ";"Child well-being; Explaingin covid to kids; kids behavior";"Child well-being; Explaingin covid to kids; kids behavior";"Child Well-being; Explaining COVID-19 to Kids; Kid's Behavior";;;;;;;
not being able to give the kids the social interaction they want/need;children's socialization ;confinement/isolation;isolation;Isolation;;;;;;;
Not being able to be with friends and family.;family separation ;family separation;family separation;Family Separation;;;;;;;
Without on-site school and with me and my husband both working out side of home, we have had a difficult time to set up their daily activities routine. For my children, the most challenge one is not to be able to interact with their friends in the way before.;"routine changes; isolation/confinement";"Routine changes; Balancing working and parneting; Isolation/confinement";"Routine changes; Balancing working and parneting; Isolation";"Routine Changes; Balancing work and parenting; Isolation";;;;;;;
Balancing work and the children's schooling/care needs. It has also been challenging differentiating between the activities of each children.;"balancing work and parenting; juggling multiple roles ";"Juggling multiple roles; Schooling";"Juggling multiple roles; Schooling";"Juggling Multiple Roles; Schooling";;;;;;;
I don't get time to myself, don't get enough time to work, and yet my child simply doesn't get it, still wants attention all the time. This is bound to be a collision course, and trying to avoid the collision is really hard.;"no alone time; keeping up with work?; family conflict?";"No alone time; Balancing working and parenting";"Juggling Multiple Roles; Lack of Alone Time; Parent-Child Tension and Conflict";;;;;;;;
Keeping my older kids engaged with their friends in positive ways. Most days they are playing video games with their friends to connect with their friends. Allowing more screen time goes against my usual parenting practices.;"children's socialization; excessive screentime; conflicting parental values and activities ";"Keeping child/family busy; Conflicting parental values and activities";"Keeping child/family busy; Conflicting parental values and activities; excessive screentime ";"Keeping Family Busy; Conflicting Parental Values and Actions; Excessive Screentime";;;;;;;
Home-schooling.;schooling ;Schooling;Schooling;Schooling;;;;;;;
"Trying to limit video games, esp when they feel that is the only way they ""see"" their friends, plus both parents often trying to get work done.";"excessiv screentime; balancing work and parenting ";"Balancing work and parenting; Conflicting parental values and activities";"Balancing work and parenting; Conflicting parental values and activities; excessive screentime";"Balancing work and parenting; Conflicting Parental Values and Actions; Excessive Screentime";;;;;;;
I am a nurse and can't have any contact with my daughter on days that I work (because of my schedule). On days she does see me she is clingy and moody, and I am fighting an internal battle between missing her terribly and yet hating being around a moody toddler. This also leaves very little time for decompressing from stressful work days.;"children's behavior; parent well-being ";"Family separation; Kids behavior; parent well-being";"Family separation; Kids behavior; parent well-being";"Family Separation; Kid's Behavior; Parent Well-being";;;;;;;
Never getting a break.;parenting exhaustion;"no alone time; parental exhaustion";"no alone time; parental exhaustion";"Lack of Alone Time; Parental Exhaustion";;;;;;;
Everything he has to do I need to be right there helping him. I can not just give him an assignment and expect him to do it. I am overwhelmed with the constant contact from all of the people that work with him at school OT, PT, ST adaptive PE and special ed and regular Ed teachers and them constantly giving me ideas of what to work on. It just makes me feel more guilty when we don’t do everything.;"parening exhaustion; schooling; parenting well-being";"Schooling; Parent well-being";"parening exhaustion; schooling; parenting well-being";"Parental Exhaustion; Schooling; Parent Well-being";;;;;;;
Not having a break has been the hardest part. Grandma used to provide daycare and babysit every month so we could go out on a date night.;"parening exhaustion; access to supports/service ";"No alone time; family separation; access to supports/services";"No alone time; family separation; access to supports/services";"Lack of Alone Time; Family Separation; Accessing services and supports";;;;;;;
Balancing the changes in routines, mastering new technical skills for virtual learning, changing roles as a parent and trying to be an educator.;"routine changes; schooling; balancing parenting and teaching ";"Routine changes; Schooling; Balancing parenting and teaching";"Routine changes; Schooling; Balancing parenting and teaching";"Routine Changes; Schooling; Balancing parenting and schooling";;;;;;;
Keeping the kids out of electronics and interested in going for walks, runs, playing games, interacting with family members. My husband and I are in agreement that we shouldn't push the kids too much but now I've had kids that don't want to help much around the house. They are always talking with their friends on the phone which I think it's a good thing, they are always hungry which is overwhelming at times. We are getting lots done for work at home which is incredible but very tiring. My 2 year old has been watching much more TV than usual so I can get work-related things done and I feel guilty. However, whenever my husband and I are outside either relaxing or working on something the kids come and help which is wonderful. We are running out of things to do around to house. It is so challenging to get the 16 and 18 year olds to go to bed before 1:30am. I've made the decision to wake them up around 10:30am regardless. I do have a feeling that the month of May will be the most challenging of all. Kids are getting ready for summer and they miss terribly their friends. I am not sure if I will be able to keep them home. I got a trampoline to try to bride them, let's see.;"exccessive screentime; keeping child/family busy; conflincting parenting values and activities; parenting exhaustion; parenatal guilt; routine changes; isolation/confinement";"Excessive screentime; Keeping child/family busy; Kid's behavior; Conflicting parenting values and actions; parent well-being; Isolation/Confinement; Routine changes";"Excessive screentime; Keeping child/family busy; Kid's behavior; Conflicting parenting values and actions; parenting guilt; Confinement; Routine changes";"Excessive Screentime; Keeping Family Busy; Kid's Behavior; Conflicting Parental Values and Actions; Parenting Guilt; Confinement; Routine Changes";;;;;;;
nonstop involvement with my child.  no breaks until he goes to sleep at 9pm.;"parenting exhaustion; no alone time ";"Parenting exhaustion; No alone time";"Parenting exhaustion; No alone time";"Parenting Exhaustion; Lack of Alone Time";;;;;;;
