Reward Question Data;Codes;;;
"I feel closer to my kids than ever before. We really talk to one another - share fears, support each other, listen. 

My nine year old has really struggled emotionally during this time, but she's also shown herself to be a strong leader and amazing, empathetic caretaker. We work very hard to make sure she doesn't feel like she needs to be a leader or caretaker at home, but I think she has found comfort in it and it's been amazing to watch. She's developed a very close bond with her three year old sister, who she used to think was super annoying.

Returning to basics and being content with boredom. I was SO SICK of my kids always asking for things, but I don't think they've asked for anything in weeks. It's been really nice to be separated from the material world. They're playing with rocks and a frisbee and naming squirrels. In the pre-Covid world, they never would have been content with these ""boring"" activities. I love the return to simplicity. In a lot of ways, I dread returning to ""normal.""";"parent-child relationship; closeness; sibling relationship; slowing down";;;
Seeing the baby meet her milestones in spite of all the disruptions is rewarding. It's nice to see that the baby is happy, even when everything else is so uncertain.;"being involved in children's growth/dev; child resilience";;;
Family togetherness;quality time;;;
Family walks and hikes;"quality time; being outside";;;
spending more time with just my daughter and I.;quality time;;;
Extra snuggle time;physical affection;;;
Nothing since i am at work;no rewards;;;
My child is still learning and making leaps and bounds in her mental and emotional development.;being involved in growth/dev;;;
Seeing my child’s growth;being involved in growth/dev;;;
Watching my kids play and be happy;Child Resilience;;;
More time together.;quality time;;;
Watching them be eager to learn. And learning;involved in growth/dev;;;
The time gained from not commuting to answer kids questions, play games, etc. Most days, they would not see me in the mornings, but only get to see me for 1 hour before their bedtime during weekdays.;"more time; quality time";;;
Get to know more of my kid, my partner and brainstorm on home activities. A lot more options we discovered for family time.;"learning opportunity; quality time; new activities";;;
Extra snuggles;affection;;;
More time together with my spouse and child.;quality time;;;
The extra time to spend with our children with our slower schedule and more time at home. A chance to connect emotionally and spend time together.;"quality time; more time; closeness";;;
Closer family time.;"quality time; closeness";;;
More positive family experiences;quality time;;;
You can spend more time with your children and work together at home.;quality time;;;
The most rewarding parts are that we get to spend more quality time with one another and that we’ve had to come up with new ways to interact with one another.;"quality time; creativity";;;
Being able to get closer to my children and getting to know about them more.;"learning opportunity; closeness; parent-child relationship";;;
I started to read more about how to boost the immune system of the kids to keep them healthier;parenting competence;;;
Having him home for schooling;involved in education;;;
able to spend more time;quality time;;;
seeing my kids smile;Child Resilience;;;
More time together, a lot more physical snuggling, and being more involved in my child's education - seeing what she's learning in a more hands on/tangible way.;"quality time; affection; involved in child's education";;;
It's been unique being my child's teacher and helping educate him. He's very resilient and done so well, it's been wonderful to see. Additionally, I've learned more about how my child learns and feel like I'll be able to better advocate for him when he re-enters the classroom.;"involved in child's education; Child Resilience; learning opportunity";;;
I think the kids will look back at this time with a lens of positivity. They didn't have to physically go to school or even wear pants for months. We spent a lot of time together. We traveled the world together through virtual field trips. They learned how things work, how to fix things, how to cook. So despite being in a rough emotional state myself, I think in hindsight these times will be treasured. In some weird way LOL;"quality time; teaching opportunity; new activities; creating memories";;;
Educating my child.;involved in child's education;;;
More time with family;quality time;;;
Spending more time with them.;quality time;;;
Being home with my son, working on school work together.;"quality time; involved in child's education";;;
Knowing my children and spouse are healthy, and that is one thing I know I am thankful for.;feeling safe;;;
They have a very limited understanding of what is going on right now. They are loving having me and my husband home so much and that makes me happy.;parent-child relationship;;;
More involvement in my child's learning.  Watching his growth in reading.  Sharing simple time together outside.;"involved in child's education; quality time; being outside";;;
Being able to be with my child 24/7;quality time;;;
I was home before this.. my partner has had more time with the kids;parent-child relationship;;;
Not sure yet.;no rewards;;;
I’ve spent more one on one time with each of my kids.  We’ve created new routines among our family that has created deeper bonds.  We’ve all learned to communicate more with each other.  I’m so proud of all my kids and how well they are handling the quarantine.;"quality time; new routines/rituals; closeness; learning opportunity; Child Resilience";;;
Learning to be more affectionate with them.;"affection; learning opportunity";;;
Nightly movie nights and snuggles, daily board games, building legos together every day... just constant togetherness. I love having my people all with me.;quality time;;;
More time together;quality time;;;
Family time;quality time;;;
Time with my children.;quality time;;;
Getting to spend extra time together and making our own fun. Doing projects.;"quality time; creativity";;;
Lots of family time and being able to work from home so that my child isn't in childcare.;"quality time; flexibility";;;
Spending time together. Not having to load everyone in the car and drive all the time;"quality time; more time";;;
when they go to bed and sleep through the night. Then I get to also.;;;;
Family time together.;quality time;;;
Getting to observe children's learning habits evolve.;involved in children's growth/development;;;
Learning what they have been learning in school & trying to make it work at home.;involved in child's education;;;
My kids are realizing all the work I put into being a good mom.;parenting competence;;;
Being forced to be home and find ways to be creative and do life together in a meaningful way.;"new activities; creativity";;;
Seeing my kids learn a new skill;involved in child's growth/development;;;
In theory, there should be more family time.;no reward;;;
Spending fun time together.;quality time;;;
Spending more time together as a family.;quality time;;;
Not having outside plans and obligations;slowing down;;;
It’s nice having more family time with my husband working from home;quality time;;;
I feel happy knowing that we have each other to get through this time together.;"gratitude; family resilience";;;
I get time during the days to just play and do fun stuff with the kids once they are done with school instead of trying to get all the housework done when they are here.;"quality time; more time";;;
Watching the grow and learn;involved in child grow/develop;;;
Being able to spend more family time with my kids and not having the distractions of a Extra curricular activities.;"quality time; more time";;;
Spending time together and doing activities together.;quality time;;;
The closeness.;closeness;;;
Teaching my kids cooking and cleaning skills;teaching opportunity;;;
Not missing moments with my children.  Getting to see my children all day and know they are safe.;"watching child grow/develop; parenting competence";;;
Being able to spend more time trying new things together.;"quality time; new activities";;;
Extra hugs!;affection;;;
Watching my children learn and grasp new ideas. They are continuing to grow before my eyes everyday.;involved in children's growth/dev ;;;
More family time and creating new experiences together that wouldn't have happened otherwise.;"quality time; making memories";;;
All being together. Sports and activities take us in different direction, and we don’t have sports at this time so we are all home;"quality time; more time";;;
More one on one time. Getting to know them and their abilities better.;"quality time; learning opportunity; closeness";;;
Lots of 1 on 1 times.;quality time;;;
My youngest has understood what I am doing every day to make them healthy and happy and has shared his thanks for that.;parenting competence;;;
Giving them hugs throughout the day;affection;;;
Being around my baby 24/7;quality time;;;
More time with family when I’m home from work.;quality time;;;
More time with my kids to do the activities we like doing.;quality time;;;
Working one on one with them and seeing them develop and learn. Watching their older siblings help them with school work they are struggling to understand.;"quality time; watching children grow/develop; sibling relationship";;;
Spending time together as a family.;quality time;;;
Just being with my kids.;quality time;;;
I get to watch my kids grow;watching children grow/develop;;;
Going shopping without my kids.;;;;
Spending more time with them. I get to experience so much more of their personalities.;"quality time; learning opportunity";;;
Being able to spend more time together as a family, eating more meals together;"quality time; shared meals";;;
All the time and activities we get to do together .;quality time;;;
Being with my kids all the time, not missing out on things.;"quality time; watching children grow/develop";;;
No one is sick.;gratitude;;;
All the family time;quality time;;;
Being home so much as a family has been wonderful. We spend more time together than we have in the 8 years of being a family. It’s been such a blessing. I also love how little we’ve needed of the usual “extras”. We don’t wander target and spend $100s on things we don’t need to just do something. That has been great!;"quality time; gratitude";;;
Quality time and lots of it. Making the best of the situation.;"quality time; family resilience";;;
We have a lot of great conversations and I see how much she’s aware of.;"quality time; learning opportunity";;;
Seeing my kids self reliance build.;watching children grow/develop;;;
The most meaningful part is seeing my child smile at me;"affection; closeness";;;
Confirmation of our love for one another;closeness;;;
Seeing how closer my to children are.;sibling relationship;;;
I have a better relationship with my family and we've learned to stick together.;learning opprtunity;;;
spending more time with my kids and creating new memories;quality time;;;
Seeing what they are learning at school;involved in education;;;
;NA;;;
spending more time with my child at home;quality time;;;
Being around your kids knowing they are safe;"quality time; parenting competence";;;
Knowing I'm able to be home to care for my kids.;parenting competence;;;
there are no rewarding parts.;no rewards;;;
Spending more time with my child who wants to do activities together.;quality time;;;
More time with kids;quality time;;;
My daughter has been learning to read over the past month, and it has been amazing seeing her grow into a mature, caring, and intelligent little person!;watching children grow/dev;;;
Seeing milestones and hearing my daughter say new words for the first time and learn how to do new things is incredibly rewarding. I feel like this time has made me even closer with her and made me appreciate how special it is to parent, even if it is exhausting.;"watching child grow/develop; closeness; gratitude";;;
Knowing they are at home.;feeling safe;;;
Seeing all the changes he’s making in learning on a daily basis;watching child grow/dev;;;
Being able to spend time with my daughter.;quality time;;;
Time together;quality time;;;
more time with family;quality time;;;
Being able to witness their milestones.;involved in child grow/dev;;;
Seeing our family bond. Seeing daily family interactions. Less distractions.;"closeness; quality time; more time";;;
Spending more time with family.;quality time;;;
Being able to spend more time together and see what they are doing in school. Cooking together more. Exercising together more.;"quality time; involved with children's education";;;
More time with my child.;quality time;;;
The extra time I get to spend with my daughter and she gets to spend more time with family helping to care for her while day care is closed.;quality time;;;
Spending a lot more time with my son. We have a lot of time for walks and biking and canoeing. I have gotten to know my son's personality a lot better. He is a different person earlier int he day than he is after a long day at daycare, and now I get to see that regularly.;"quality time; being outside; learning opportunity";;;
The same as before.;no rewards;;;
Slowing down;slowing down;;;
Having more time to cook, realizing that we truly enjoy each other’s company;"more time; learning opportunity";;;
Spending more time together;quality time;;;
The quality time together has been great as well as feeling closer and even getting to know my kids personalities a bit better;"quality time; learning opportunity";;;
More time with my children than if I was working in the office - which means I see more of their growth and learning and helps us feel closer.;"quality time; watching children grow/develop; involved in education; closeness";;;
Learning more about your child every day and seeing them succeed;"learning opportunity; watching children grow/develop";;;
It is really neat to be able to share so much time with my kids during their early childhood years. I am grateful to be able to have this extra time with them (though maybe not quite this much extra time . . .). Because my kids are so young, they also seem relatively happy to be home with us all of the time, and that's neat to see. I've also enjoyed seeing my kiddos bond as siblings more through this time.;"quality time; spoiling; Child Resilience; sibling relationship";;;
Although are life is distributed I feel COVID-19 as not changed the relationship I have with my children. We still laugh and enjoy being together. We still have our changes but it just makes me believe that I have good children who are learning to make the best with the situation despite being young and having a little understanding.;Child Resilience;;;
More time at home with family.;quality time;;;
"Spending more time with my kid, and especially cooking with my kid.

Helping her to understand what's going on with regards to the pandemic, and trying to ease her worries and let her know that we are here for her.";"quality time; teaching opportunity";;;
Being able to spend more time with her and play and learn;quality time;;;
Getting to enjoy things like baking and trying new skills with my child.;"quality time; new activities";;;
Strong sense of accomplisment;family resilience;;;
Spending so much time together and making our own schedules;"quality time; flexibility";;;
More time as a family. Slower pace!;"quality time; slowing down";;;
spending a lot of time together as a family doing different things;quality time;;;
More time for sleeping, less commute.;more time;;;
More time together;quality time;;;
Time togethee;quality time;;;
More time with family and less being pulled in different directions for other obligations;"quality time; more time";;;
Spending more time with my kids;quality time;;;
Having more devoted one-on-one with my child, and also making occasional time together as a family;quality time;;;
Seeing her development on a daily basis, and getting to spend more time creating structured activities for her to partake in.;"watching child grow/develop; teaching opportunity";;;
We get to spend a lot of time together and that allows us to go through this with far less stress than if we were apart.;quality time;;;
Spending extra time with my toddler means I really know her a lot better now. I understand much more of what she says and can really see her personality developing! I'm grateful for that.;"quality time; learning opportunity; involved in child's growth/development";;;
Less stress surrounding school especially with my child who is behavioral;more involved in child's education;;;
Being able to be with my children and know that they are safe and being able to connect with them on a deeper level.;"quality time; parenting competence; closeness";;;
We are getting to spend more time together as a family and especially with the kids.;quality time;;;
Having more direct contact with them and control over what education they are receiving.;"quality time; control over education";;;
Spending more time with my child and watching him grow as he learns new things;"quality time; watching children grow/develop";;;
more time together, more relaxed scheudule;"quality time; flexibility";;;
Spending more time together;quality time;;;
Long time together to see the child grow.;"quality time; watching children grow/develop";;;
Being able to see so much of my little guy and watching him grow and change on the daily;"quality time; watching children grow/develop";;;
Spending more time with my daughter;quality time;;;
Seeing the kids feeling OK about everything. Learning to deal with disappointment.;"Child Resilience; self improvement/personal development";;;
Relaxed household without homework or early mornings.;flexibility;;;
The extra time spent with my kids.;quality time;;;
Seeing my baby's firsts and spending more time with her.;"watching child grow/develop; quality time";;;
Getting to be outside a lot more and spending time more as a family.;"being outside; quality time";;;
My kids love nature, and love their daddy working from home.;"being outside; father-child relatonship";;;
Seeing them self direct. Seeing them get along better;"watching children grow/dev; sibling relationship";;;
Seeing them learn and grow and play together;"watching children grow/dev; sibling relationsihp";;;
No different than otherwise.;no rewards;;;
There really isn't a difference for me compared to normal.;no rewards;;;
Enjoying time with my son. Teaching him new things, cooking, growing a garden, science projects.;"quality time; teaching opportunity; new activities";;;
Staying home to help them with school. Laid off as a RN so I get to help them with online learning. Would be hard if I was still working.;"more involved in child's education; more time";;;
on the other hand, this is a real blessing to see our children this much. our four year old is getting close to reading, and asks wonderful questions. Our 3 month old is learning to smile and laugh, and brings a lot of joy as she learns new skills;"gratitude; quality time; being involved in growth/development ";;;
More quality time reading, walking, etc.;"quality time; outdoors";;;
Lots of snuggles and family dinners.;"affection; shared meals";;;
With our child being so young, she has no sense of the craziness that is going on outside in the world. Which helps remind us (her parents) of the simple nature of life. That we should take a lesson from her and that the not knowing is ok.;"gratitude; patience; slowing down";;;
Seeing my child everyday. Making our own school schedule.  Getting stuff done in our own time without major time constraints.  Being closer with family and friends.;"quality time; flexibility; closeness";;;
Having more 1 on 1 time to spend with individual children.;parent-child relationship;;;
Spending time with the family;quality family time;;;
Seeing her progress with school and what she really can accomplish;involved in education ;;;
Am able to spend more time with my kids than I was able to otherwise, which is nice.;quality time;;;
Having more time together while my son is young and spending more time doing the simple things together. I feel like I am getting to know my son more than before this happened.;"quality time; learning opportunity";;;
We have the chance to laugh more together and connect on different levels.;closeness;;;
Getting to be a bigger part of my sons schooling.;involved in education;;;
Sending letters and cards together to family.;new activities;;;
Having more time together.;quality time;;;
Parenting is always rewarding regardless of pandemic;;;;
;;;;
Teaching him stuff;teaching opportunity;;;
;;;;
More snuggling and family time together;"affection; quality family time ";;;
Spending more time with my kids and doing more activities with them.;quality family time;;;
Nothing really has changed;no rewards;;;
Enjoying watching my infant go through all of her developmental milestoneS.;involved in growth/development ;;;
Setting a positive example as a parent. Spending more time with them, giving them hope and turning a challenging situation into something positive together as a family.;"parenting competence; quality time; family resilience";;;
Watching my babies have some of the first that I missed when they were at daycare;involved in growth/development ;;;
Spending more time with them.;quality time;;;
Everything!;;;;
spending time together, just the 2 of us.;"quality time; parent-child relationship";;;
Knowing they are home safe;feeling safe;;;
Getting to spend extra time with my child, play in our yard more, do more art projects. Not being rushed to do things just on the weekends;"quality family time; less busy";;;
That I get to see my daughter more.;quality time;;;
I have really become much closer with my son;"parent-child relationship; closeness";;;
Spending more time together;quality time;;;
Being able to spend more time with our child, since we're working from home now. When we worked out of the home, we'd often be gone from 8am-6pm, so there was less time with our child. But now, we tag-team during the afternoon and evening, and therefore spend more time with our child.;"quality time; division of labor; more time";;;
Spending more time with them;quality time;;;
Nothing;no rewards;;;
Being home with them all day long;quality time;;;
Just having nothing waiting for us...except things here at home.;less busy;;;
Having more time to spend with my child;quality time;;;
Being with my children and being able to focus on them. It was always about having play dates, birthday parties, etc- and now we can focus on just them and spending time as a family;"quality time; flexibility";;;
Knowing that the amount of time the kids are getting to spend with us would never happen in the normal world. Getting to watch my 2 year old grow and learn daily, I'm coming up on having spent the most time in her entire life with her (more than I had during maternity leave) and that's very meaningful to me.;"quality time; gratitude; involved in growth/development ";;;
Spending time with my daughter and other than work not having other demands;"quality time; more time";;;
I know my children are safe and loved.  Even though they are missing their friends, they are still happy and having fun at home.  We aren't perfect parents but I think we're doing alright.;"feeling safe; child resilience; parenting competence";;;
Getting so much face time with my kids. There is basically endless time to explore their interests and make things, also the break from routine.;"quality time; flexibility";;;
Having this rare family time.;quality time;;;
More quality time together because there is no rushing or driving.;"quality time; more time";;;
Watching their learning progress in real time, watching the kids do things together cooperatively, exploring new things together as a family.;"involved in schooling; sibling relationship; quality family time; new activities";;;
Spending a lot of time with my children outside. We are lucky to live in an isolated spot with lots of outdoors to explore.;"being outdoors; gratitude; quality time";;;
Less structured time together has been nice.;"flexibility; quality time";;;
None of it. It exposes so many of the problems with how we value work, undervalue parenting and teaching, and how precarious we all are financially. I feel like I can't take a step back from work or I'll lose my job, and then I feel guilty I can't support my child with as much of my undivided attention as I'd like to.;no rewards;;;
Lots of hands-on time. I also like that I'm not rushing my child to be somewhere.;"involved in growth/development; more time";;;
Seeing them more;quality time;;;
Extra snuggles, crafts, reading and family time;"affection; quality family time ";;;
"Being able to see our children grow and learn. We rarely ever get to see the actual learning process and seeing our kids ""get it"" is so cool.";"involved in growth/development; invovled in education";;;
Actually feeling like I am seeing my kids grow up and being home with them everyday, but because I’m managing work and being home it’s impossible to feel like an adequate parent;"involved in growth/development; more time together; spoiling";;;
More time watching my child grow, bonding with my child.;"quality time; involved in growth/development; closeness";;;
Walks with my kids;"quality family time; outdoors";;;
"Spending that extra time I never get with my child. He's always been a ""mama's boy"", but now he's also become very close to my husband/his dad and I love watching their relationship grow stronger, too.";"quality time; father-child relationship";;;
Continuously realizing how lucky I am to have the best kids in the world. Feeling closer to them, and knowing we can get through anything together.;"gratitude; closeness; family resilience";;;
More time with my spouse.;partner relationship;;;
Seeing my baby smile;parent-child relationship;;;
More time with my kids to play because I don't have a commute, no Fear of Missing Out because no one can do anything.;"quality time; more time";;;
More time with him and being able to teach him more;"quality time; teaching opportunity";;;
Being home every night with the kids.;quality time;;;
Family game night every night.;quality family time;;;
Time that I never get to spend with my kids, I love being able to be with them every day, even if it's a lot sometimes. I will never forget this time with them.;"quality time; more time; creating memories; spoiling";;;
Spending more one-on-one time with my children. Getting to know them better;"parent-child relationship; learning opportunity";;;
"More time with immediate family. Seeing one kid take responsibility & pride in school.
Recognizing that they are growing up and can do things like cook, go further on bike without parent.";"quality time; involved in growth/development; learning opportunity";;;
Having so much family time. Doing school and adventures together.;"quality time; involved in education; new activities";;;
More time together as a family and appreciating our home and neighborhood.;"quality time; gratitude";;;
My children are in the so-called “sweet spot” ages 10 & 13 so they are capable of having serious discussions if needed and they still want to be around me. It almost seems strange to write this, but the bittersweet part about our experience is I know I will look back on this someday and despite the worry, shock and fear about covid-19, I will genuinely appreciate the extra time I have had at home cocooning with my kids.;"quality time; gratitude ";;;
Getting more time with my children and enjoying the little moments.;quality time;;;
More physical affection. More time together.;"affection; quality time";;;
I feel more connected to my kids - we are having lots of great family experiences and trying new things.  I've enjoyed the extra time with them and with my spouse.  I like that we've had the time and energy to try new things at home together.;"quality time; closeness; new activities";;;
Spending more time together and laughing/playing as a family.;quality time;;;
I really love being with them more. I feel like I know them better, I know the developmental phase they're in, I know what's going on with them....I am genuinely loving the increased family time and I think this is making us a stronger family unit. I just really, really wish it wasn't marred by the specter of work hanging over my head a lot of the time.;"learning opportunity; quality time; involved in growth/dev";;;
Being able to be together, letting the kids sleep in and have gradual wake up times;"quality time; flexibility";;;
Being present with my children.;slowing down;;;
My son tells me multiple times per day without any warning that he loves me.  These are wonderful moments that I wouldn't trade for anything.;"affection; gratitude";;;
Realizing how lucky my family is to be in our current living situation and financial situation. It’s really made me grateful for my circumstances and has very much helped me keep things in perspective. Also an increase in communication virtually with family and friends has been special!;"gratitude; ";;;
Spending more time with my kids without the stress of my work and busy activity schedules getting in the way;"quality time; less stress; flexibility";;;
More time together. We have dinner together every night and have more conversations.;"quality time; shared meals";;;
Spending extra time with my kids. Watching them do their school work.;"quality time; involved in education";;;
We spend more time together outside and making music than before the pandemic.;"quality time; being outside";;;
The time we spend walking-biking together as a family.;"quality time; being outdoors";;;
Seeing how quickly they learn and how much they love their school, teachers and classmates.;involved in education;;;
Watching my son meet his developmental milestones;involved in growth/development;;;
Getting to take breaks to enjoy nice sunny weather with kids during the day when we'd normally be at work/school.;"being outside; flexibility";;;
We spent more time together as a family and focused on the blessings that we have in our lives.;"quality time; gratitude";;;
Family time and gratitude;"quality time; gratitude";;;
Spending time with the kids has been fun, despite the days when everyone is crabby.  My husband has gotten to spend way more time with our 3 month old than he would have normally, and is getting to see things he missed with our first.;"quality time; father relationship";;;
I will say since I am working full-time I feel like we haven’t gotten to enjoy as many of the “rewarding” parts of the pandemic. We are having fun together with the family, taking more walks, baking  more often, having more movie nights, etc. There are benefits, but they do come with increased stress of not having work life separate from home life.;"quality time; spoiling";;;
The most rewarding parts of parenting during COVID is showing my children how to play video games, spending more time in our yard and exploring different learning technologies.;"new activities; being outside";;;
Staying home all day and knowing you are there my your daughter.;quality time;;;
Seeing everything from our children’s perspective all day;being involved in child's growth/development;;;
There are more time to spend and see my children.;quality time;;;
I’m getting to spend more time with the kids.;quality time;;;
Seeing my kids interact positively with one another. They were in different rooms at daycare and didn't spend a lot of time playing just the two of them.  There's more fighting than before but they are learning to work together as well which I think is great.;sibling relationship;;;
Having more time with our children;quality time;;;
My husband and I are spending more time with our child because we are both home more.;quality time;;;
Getting to see the resilience of the kids and coming up with new, creative ways to spend time together. We've built a play structure and taught our youngest how to ride a bike during this pandemic, things we likely wouldn't have done if we weren't stuck at home. It's amazing to see them adapt and be okay with this situation - they're amazing humans!;"child resilience; creativity; quality time; new activities; teaching opportunity";;;
Seeing progress in a few areas we are working on specifically with the kids (attempting to teach the almost 4 year old how to read).;"being involved in child's growth/development; teaching opportunity";;;
Spending so much time together and seeing the sibling bond develop. Trying to stay thankful for this opportunity to be with our kids at such an early age in their development. Our one year old is adding new words to his vocab almost every day and it's endlessly fascinating and fun to hear the words he is choosing to use and how he pronounces them;"sibling relationship; involved in growth/development; gratitude; quality time";;;
I'm able to see my child's development like seeing his first steps,  which I would not have gotten the chance otherwise because he goes to daycare. This period seems like a blessing in disguise and I'm thankful that I can spend more time with my child.;"being involved in child's growth/development; gratitude";;;
I am really enjoying the slow days playing together when my work/school responsibilities are minimal or can wait.;"quality time; slowing down";;;
Free time;more time;;;
Closeness.;closeness;;;
Seeing my children grow educationally;involved in child's education;;;
More time with kids;quality time;;;
Non stop time together :);quality time;;;
Having more time to just be with the kids and enjoy their imaginations and sense of humor.;quality time;;;
seeing my kids spend more time together;sibling relationship;;;
Spending as much quality time with my kids as I would like to and as they want to.;quality time;;;
Time together as a family.  Appreciation and gratitude for how lucky we are to still be working and having access to resources and support from my parents, who help watch our children 3 afternoons each week.;"quality time; gratitude";;;
learning about my child, seeing her develop, spending so much time with her.;"learning opportunity; being involved in child's growth/development; quality time";;;
Time with my children;quality time;;;
So many nature walks, snuggles, endless book reading sessions, arts and crafts, working in the yard.  We are very lucky and the good times have been so good.  The hard days are fucking hard though.;"being outside; gratitude; quality time; affection; spoiling";;;
"Our youngest is at the stage where his skills are exploding and his personality is through the roof. He's our last child, so I feel really fortunate to be home during this time, able to witness a lot more of his development than I otherwise would have. We've been teaching the older kids ""life skills"" throughout this time, as well, and it's been really sweet to watch them getting excited about baking and cooking with us, helping me sort laundry, etc. I also love getting all of their hugs and snuggles and fresh-picked flowers throughout the day.";"gratitude; being involved in child's growth/development; quality time; learning opportunity; affection";;;
Spending more time with my daughter and seeing her grow in her independence, creativity, and imagination. Also get to spend more time preparing for our new baby coming May 5th!;"quality time; being involved in child's growth/development; ";;;
Spending more time together;quality time;;;
Seeing how happy my youngest is to spend time with me;"parent-child relationship; quality time";;;
more time together. getting to be very involved in the kids, focusing on their reading and happiness and cooking and being together and teaching them new things I've meant to do for awhile!;"quality time; involved with child's growth/development; new activities; teaching opportunity";;;
More time with children at home;quality time;;;
I'm proud of myself for the smaller wins (reduction in screen time, group activities)--they feel more real now. To a certain extent I feel less guilty than before, because the expectations are so low.;"parenting competence; less guilt";;;
Being able to see my daughter get closer with her extended family.;family relationship;;;
More creative exploration time;"quality time; creativity";;;
Spending time with the kids.;quality time;;;
Being together as a family, working from home has been less stressful than working in the office.;"quality time; less stressed";;;
Spending more time together, being physically active together (walking, hiking, biking);"quality time; being outdoors";;;
More quality time with my family.  Less time focused on work/away from home.  Reevaluation of what is important in life.;"quality time; more time; slowing down";;;
Talk, share feelings and talk more. Share lunch every day. Walk together and exercise.;"closeness; shared meals; quality time; being outdoors; quality time";;;
It's been a time to acknowledge and be grateful for our strengths and our blessings.  I actively look for the qualities I admire in my children and express my appreciation for them.  Communication with my partner has strengthened, along with our support and compassion for each other.;"gratitude; partner relationship";;;
Quality time.;quality time;;;
Being around family 24/7 and having opportunities to connect.;"closeness; family relationship";;;
That we get to eat together for most every meal.  That we are all together, and not rushing off for sports or meetings or engagements.;"quality time; shared meals; slowing down";;;
Working from home means I get to see my children in the morning before they go to daycare.;more time;;;
Talking more, playing more, watching them grow emotionally and I love watching him dive into school;"quality time; being involved in child's growth/development; being involved in children's education ";;;
Seeing what he can do that we didn't realize! Seeing him suddenly blossom in his interest and skill in sports!!! He's not really been interested in playing before- its been more watching. Now he always wants to be outside and play baseball and Frisbee and take walks. My son amd i also male a point to cook together often and its one of my most fun things to do with him.;"being involved in child's growth/development; new activities; quality time; learning opportunity";;;
My son is thriving NOT being at school. No bullies, can learn what he wants, can take breaks when he needs, he is accelerating his learning.;"control over learning; more involved in child's education";;;
Lots more bonding time;quality time;;;
Spending so much time at home with my kids.;quality time;;;
"Appreciating having the opportunity to parent, have flexible work arrangements and focus on what matters; more time outdoors playing, walking, gardening with each other; more time indoors playing and snuggling; having my child openly talk about her feelings of love, happiness, excitement, appreciation, sadness, disappointment and frustration -- and recognizing these feelings in others with compassion; practicing patience and grace with me and her as we problem solve and let the small stuff go.";"flexibility; outdoors; quality time; affection; closeness; parenting competence; ";;;
Getting to know my child better. Having a slower pace of life in some ways (but more stressful in other!) Learning more about parenting strategies and what works for my child. Having so much more time to spend with her.;"learning opportunity; slowing down; parenting competence; quality time";;;
Spending time outside--hiking, exploring new places, etc.;outdoors;;;
As I said above, we are taking more time to be present for our kids and get to know who they are - what's important to them, what do they enjoy, what thoughts do they have about the present and the future, how do we best support them when they are feeling sad and struggling.  And - as a mother who has always felt ambiguity and uncertainty about blending work and motherhood - there is something about letting go and mostly just being focused on being a mom that also feels rewarding.  So I think I am appreciating that the need to put parenting first is requiring me to step up to that. There's been lots of wishes for snuggles and cuddling at night - my youngest does not want to go to bed alone right now...so we are trying to enjoy that, rather than fighting it.  And they are both managing a lot of change and I am proud and inspired by the ways in which they are navigating this time of uncertainty - it's not always easy and they sometimes get pretty upset about it - but they are also trying hard to understand it and do what's beneficial for our broader community, and think of ways to show appreciation to essential workers, and look out for others through making donations, writing cards, etc.  They try to talk about gratitude and I think we try -as a family - to talk about the difficulty of the situations that many other people (locally and globally) are facing so that we keep perspective as a household.  They participate in that and will often acknowledge the things they are grateful for....so I am appreciating the many ways that they remind me to look for positive aspects of difficult times and to be mindful of the goodness that we have and that we can share.;"gratitude; more time together; quality time; community";;;
Closeness, new stories, time to be spontaneous.;"closeness; more time; new activities";;;
Spending more quality time with my family. having my husband at home (working from home) makes me feel less isolated and alone (as a stay at home mom). Having fewer outside expectations/activities/schedules has been a surprisingly great thing. I don’t feel as pressured to get out and stimulate my kids with a bunch of activities outside the house, which has been so much less stressful.;"quality time; partner relationship; less stress; flexibility";;;
Time together has allowed for more family bike rides;quality time;;;
More time together. Seeing more facets of our children in closer detail.;"quality time; learning opportunity";;;
More time at home;more time;;;
More family time, more hugs more laughs;"quality time; affection";;;
Seeing my son (2yo) be so proud of himself for building something out of Magnatiles or seeing my daughter (5yo) be so proud of herself for getting her phonics lesson correct. My kids rock.;involved in growth/dev;;;
Finding new things to do with limited accessibility;creativity;;;
Resilience of kids. Play more together.;"child resilience; quality time";;;
Getting to know my child better. Experiencing the fun of toddler-hood and having time to do more activities/crafts with her. I used to feel a lot of guilt about sending her to daycare and how much time we were apart each week...that has released due to our 24/7 at-home situation.;"learning opportunity; quality time; more involved in growth/development; less guilt";;;
I've been able to spend more time with my children and when we're not all feeling frustrated/cooped up, then I can appreciate it more.;quality time;;;
Watching them perform school tasks;more involved in children's education;;;
Spending time with my child.;quality time;;;
Having my husband work from home and being together as a family.;"partner relationship; quality time";;;
spend more time with her, come up with plans to educate and entertain her- i think more about how to keep her happy.;"quality time; teaching opportunity; parenting competence";;;
Getting to spend so much extra time bonding with my infant daughter. In some ways it feels like an extended maternity leave.;"quality time; parent-child relationship";;;
