idx,ID,"How has the quarantine/social distancing affected you? Describe in as much detail as possible."
221,741359,Social distancing has made me stress everyday due to the thought of getting my hands dirty somewhere in public and then catching the virus. I am more alert and aware of my surroundings and what I do. I clean more and I use more chemical cleaner on a daily basis now. I get angry at people that don't social distant themselves in public. I am more worried of the world falling apart due to the virus. I sleep normally but my dreams have been bothersome that some nights I dream of the virus.
222,318518,More planing for the family and food/supplies. I still work away from home so I have minimized my drive to to and from only. Only 10 out of 100 allow in my office so it is very lonely. No social stuff. Really miss sports.
223,317723,"I haven't experienced very many problems with it thus far. I don't get to see a few friends as often, but everyone understands and have decided to take things as they come."
224,388934,VERY MUCH
225,472494,NOTHING
226,146595,"I have lessened unnecessary trips such as going to retail stores and places in my community. I strategically distance myself from people when I am in grocery stores and in other public spaces. I have been furloughed from work, so I am no longer leaving home for work shifts 6 days a week. Our governor has placed a ""safer at home"" order in our state, so all non essential places in our state have closed and we are advised to stay home unless absolutely necessary."
227,911311,"It has not affected me in the least, I somewhat enjoy the quarantine and spending time with the family."
228,151548,nothing much
229,831326,Quarantine is one of the most important way to secure from the dangerous corona virus.
230,789469,it is affected me in a financial situation. and i cannot go to the shop to buy a necessary things.
231,988150,"It hasn't affected me that much. I think of places to go as I did before the social distancing and a few of the places I would go to are closed or some are known drive-thru. Thinking about this, It isn't too bad."
232,316106,It really hasnt affected me that much because i mostly work from home and i am an introverted person so i dont really go out of the house that much anyways. It has caused me a little stress because im not sure what will happen to the economy. My kids have been staying home from school and i had to teach them a few lessons but that wasnt too hard
233,572656,
234,984730,
235,598544,Reduces friendship
236,242838,It has affected almost every aspect of my life. It has drawn social life to zero. I have left devastated by this kill joy. I can no longer receive hugs from my bestie.
237,470499,Work changed to a rotation of work at home/work at the data center. My family can't do their normal weekly things.
238,810920,Social distancing had a great effect on each and everyone starting from the poor to the rich people . It affected me a lot as i cannot complete my tasks and work responsibilities. It reduced my confidence level and hope.
239,670593,I hasn't affected me that much other than I worry about my parents or children getting the virus.
240,367382,I feel that this has just been blown out of proportion. I don't like social distancing for that reason. It has affected me in the sense that there is nothing on the shelves at the grocery store and my income has significantly decreased. Lets just get back to being how we were.
241,253046,I left my university and I am now spending time with my family. I am worried about supplies and food but I am grateful to have this extra time with my siblings.
242,565723,Social distancing by affecting the relationship with friends and romantic partner
243,471219,Social Distancing has affected me because I've had to cancel outings and travel.
244,130313,"It really hasn't effected me that much, my job is considered essential, so I wash my hands more but that's it, I still sleep normally and interact normally with everyone I did before coworkers/family."
245,605159,Does not the quarantine and or social distancing that doesn't affected to me.
246,872219,very healthy
247,187712,Nothing
248,266404,"It's a mixed reaction because I am still required to go to work. The rest of my family is not and they stay home (spouse and children). While I believe social distancing they practice keeps them safe, I am worried about me having to go to work that it exposes them to a risk."
249,848597,"I feel tired because I recently had a baby and I have to wake up to feed the baby once or twice early in the morning which disturbs my sleep. My baby wakes up between 6-7 like a clock work so I also wake up at that time. Between Morning till evening around 9 till by baby goes to sleep I cannot sleep or take rest. Also because I am a working mom I have to manage everything a baby, WFH and other day to day activities like cooking washing clothes and doing dishes etc. My husband is also very busy and tries to help me but I have to handle everything mostly. All this makes me tired and I have around 5-6 cups of coffee a day. Because of social distancing we dont go out much and its gets boring during weekends. We are managing."
250,345337,"I spend more time on social media, watching tv, playing games, house chores."
251,590976,I have had to stay at home with my family for the past two weeks. I have been mandated by my employer to work from home and also my social life has been hindered due to the social distancing. I have also had to cancel a trip I originally had planned for in May to go celebrate my birthday in another country.
252,751310,I have to stay away from people at work more and try not to touch my face. Also to keep clean more with my hands. Also not being able to see family and friends or go eat out with my husband.
253,347364,It hasn't.
254,947277,daily life is affected . and my work life is affected
255,162002,"Everyone in the world is being affected by COVID-19. Here in Canada and abroad, the World Health Organization recommends taking a precautionary measure called â€œsocial distancing.â€ This means remaining at least one metre from others. Public health officials have also suggested that people stay at home and limit all non-essential trips."
256,349866,It hasnt. im currently in a nursing home recovering from an amputation
257,768158,I work from home therefore more of the work has been placed on me because my coworkers aren't adapt at working in remote positions. I've been wanting to go outside to destress and walk but now I can't do that. It's annoying. I feel like my entire life has been put on pause.
258,564814,"I've had to start working from home 100% which has been a nice change of pace even if my job responsibilities and duties have not changed. The hard part is that while I'm working from home full time, my toddler is also at home with us and not attending her preschool. This means that I have to find ways to entertain my child without going out and doing the usual things we're used to doing while also working and making sure I'm meeting my job duties. The housework is more than before since we're home all day and eating at home and making more messes. Obtaining household essentials is more difficult due to stores lacking inventory and stock."
259,531418,I usually interact with older and elderly people including my parents whom I do not want to bring harm to. I have parents that are getting older and it worries me and makes me sad to think how vulnerable they are. I will be avoiding public places and gatherings of people. I will only go out for necessities. I will try to stay away especially from older and at risk people.
260,893281,i feel lonely and sad.
261,377753,"I just feel more lonely. My partner is quarantined out of the country, so I have to be at home alone. It's not the worst thing, though, as long as I don't get sick. I have instruments and work and lots of things to do, honestly."
262,298548,It has restricted my movement. It has affected the economy e.g increase in price of goods. It has made me to be extra careful.
263,292572,"The main thing that social distancing has affected me are the following:

1. Checking on and shopping for my elderly parents, ages 89 and 91, more
frequently.
2. Reassuring my parents and answering a lot of questions.
3. Cleaning and disinfecting my home daily, including bathroom, kitchen
counter
tops, cabinet handles, door knobs, and light switches.
4. Wiping items I bring into my home, such as grocery items, with disinfectant
wipes.
6. Remove clothes that I wear out in public and place them in the washer as
soon as I get home.
5. Washing my hands more.
6. Talking to and FaceTiming with my family and those I care about more
frequently.
7. Talking to my neighbors more."
264,189742,Working from home instead of going to office. Staying isolated. Overall no major change.
265,484206,It hasn't because I still have to go to work everyday given that I work in health care.
266,836080,"My internet usage has skyrocketed, I feel unhealthy, am eating a lot and not doing much exercising. I miss going out with friends, am always on the lookout, worrying has become a problem, I don't trust strangers."
267,220138,It has isolated from friends. It has affected the economy hence affecting the cost of living. positively it has created more time for family interactions.
268,646127,my work life has been affected and my daily life is affected.
269,402433,Life just generally feels more lonely at home and at work and it's been very stressful.
270,381762,"Well, I'm a lot more stressed about getting sick. Both my mental and physical health was in bad shape before, but I'm even more stressed out due to the virus. Every day I turn on the news or get on social media, the virus looks like it's getting much worst. I constantly worry that we might not recover from this at all."
271,826351,Quarantine completely changed my schedule.
272,417299,"Less trips to stores, regular church meetings. Taking care of family member out of the house."
273,938957,"It doesn't affect me personally, as I work from home generally. It's stopped me from grocery store runs throughout the week, however. The major affects to me would be others in my home. I'm doing okay with this social distancing, actually!"
274,940096,I cannot go to church or exercise classes. I tried to do exercise on the floor and hurt my back. I now have to spend more money for health care to correct my back with a chiropractor. I have to buy more food to make sure I can continue to eat healthy. I only talk to my friends through text and not in person. I see my family less and use text for them also.
275,608401,"It caused me to stay indoors more, and not go out as much as possible. It also prevents me from having social interactions with others, and I rarely go out to buy fast food anymore."
276,738877,"We now have my daughter home from college, as well as my husband who previously traveled for a living. Our house is getting very tight on space, as there are 7 of us in a 4-bedroom house. Today is the first day it;'s been nice outside so we have encouraged the kids to go outside and play, which they are doing now...so hopefully that will help then burn off some of our energy. We have had quite a few 'family meetings' to discuss concerns about being so close in a smaller house and what is expected and needed from everyone. Overall we are doing okay and are just thankful we have food in the house. I don't miss going out in public because I definitely want everyone to stay home right now so we are not going out unless it is absolutely unavoidable...like curbside pickup of household items."
277,609370,I am temporarily out of work as a substitute teacher and I spend all my day inside with my partner. I feel like I have no sense of direction. I occasionally get to take walks but other than that do not have much structure to the day.
278,522222,"it was difficult to adapt in the beginning, but the benefits and hygiene made us to persevere and make it a practice. As said on TV - prevention is better than cure, we are living bby these words"
279,701185,Far more time at home and more work responsibilities. More time with family.
280,234455,"I am worried, depressed and scared to death, not only of the virus, but how will I eat, keep my lights on, etc. Because of my job type I don't qualify for unemployment and I can't get the food-stamp place to answer the phone. I feel lost and I worry about my elderly mom catching the virus."
281,421602,It makes me not been able to visit family members.
282,501945,it has restricted me alot.
283,863699,I Agree
284,528609,its somed my self to seasy it
285,658993,"I have anxiety palpitations constantly. I'm planning the deaths of my parents. I cry often about this because it send me into shakes. I have no one to hug, or to lean on. I worry I wont have supplies to sustain. I've planned what I'd do if I had to start living off of the land. I have thoughts constantly running through my mind but none are of hope. I have major fear and anger. I feel utterly hopeless."
286,555813,"due to the stress of the coronavirus situation, my fiance/roommate and I have been experiencing such issues as acute anxiety, depression, shingles (painful blisters), and amenorrhea (severe headaches), etc.."
287,430022,It's made me more afraid of the unknown.
288,136233,good
289,994304,"Well my wife was laid off, so there's that. Our daughter's school is closed, so there's that. And I manage a hotel restaurant that is currently closed. They are keeping me on to manage upgrade projects and so forth one to two days, and they are letting me work from home three to four days though there honestly isn't a lot I can do from there. I'm worried for my wife's well being as she is distraught, which is also affecting our daughter. We used to go out all the time, to restaurants, movies, concerts, sporting events, etc. Now obviously we can do none of those things. It's only been a little over a week and it feels like two months. I don't agree with Trump on many things, but I am wondering if his comment about the cure being more costly than the disease might be somewhat accurate."
290,455372,really hasnt effected me much at all. just spend more time with my boyfriend because of his schedule change due to the virsu
291,122027,little bit
292,899898,It has caused me to work from home and keep awkward hours. I miss allot of overtime as a result. I don't go out now and do so only to get groceries.
293,626843,"It hasn't really affected me too much since I primarily work at home and don't go out anyway in general. The only difference is my mom being home (who works in an office) and having her around more often, which is nice."
294,416426,I feel closer to my family
295,638238,"It has been somewhat stressful because I work in a hospital, albeit in a lab. It is hard having to stay at home all the time otherwise, but I am strengthened because I KNOW it is important."
296,223705,
297,374468,"A little bit, but it hasn't affected my ability to do my job. I don't talk to my friends as much nor can I talk to people when I go out. I don't want to risk getting sick."
298,671856,All is well.
299,810113,I have to stay home all the time
300,960405,"It hasn't really at all. When I'm out of work waiting for the next job to start, I usually stay home and conserve my money. Basically what I'm doing now."
301,523754,social distance is very useful to product for me
302,320283,I don't leave the house. Can I go gramma?
303,724227,It hasn't affected me much. My state hasn't had as many cases as others have. Life has been mostly the same besides me being more careful when out in public and around other people.
304,612671,"I am a stay at home mom with young children so my lifestyle really hasn't been affected all that much. The only difference is that I've been keeping them home and letting my husband do the grocery shopping. He's terrible at it but since he already has to go to work everyday anyway, we're making sure only one person is going out of the house at a time to reduce the risk of contracting the virus. I'm a little stir crazy as I do enjoy getting out of the house to grocery shop and run errands. Though it is making me anxious that I cannot find certain groceries I need and am running out of."
305,938940,"I was working, but my agency decided to put a hold on the project I was working on, so now I am only MTurking from home. I cannot do my other job from home. As it was contract, I have no paid time, so it has affected me quite a bit. I am looking for another position, but only want remote work and a remote interview, as I have had recent health problems and am probably at a higher risk for COVID than some people. I'm quite concerned about my family as well, as we can't visit."
306,630851,I t hasn't. I carry on with my life as before. I live alone and have no family left or friends. So I am basically living as I have been.
307,264855,I miss my weekly lunch with my friend but I am sure this will be over soon and we can all get back to normal
308,992142,"The decision to discontinue home isolation precautions should be made on a case-by-case basis, in consultation with healthcare providers and state and local health departments."
309,756353,
310,407918,"I hate to say this, but quarantined has improved my life for the most part because I get to work frm home and I really really hate my job. I do have a bit more anxiety when I have to go to the store though, and I miss going out with friends."
311,681297,"Well, I have some papers that I need to print out. The library which I use the printer at is shut down. Pretty much everything in my small town is shut down until April 10th. Besides essential shops, such as grocery stores."
312,380143,"I'm still working, but from home. So it's been a bit stressful getting everything set up. The kids are home from school, so keeping them on track has been a bit stressful as well. I am mostly worried about my husband, he's an essential worker at at nuclear plant, and they're going to be sequestered on-site starting soon...so I worry that some dumb coworker is going to end up sequestered without symptoms, then spreading it to everyone. Husband uses a cpap, so that concerns me as well. I'd feel better if we could all just stay home, AND if it wasn't affecting our income. (Basically, the US's response to this has been shit, and is honestly quite abusive to citizens. They're screwing us over right and left, and basically saying, 'and what are ya gonna do about it, huh? You've got nowhere to go' - just as an abuser does. So yeah, that's only elevating my stress level, and everyone else's as well, I'm sure.)

But social distancing in general? BRING IT ON. I'm an introvert, and I'd be happy as a clam if people stayed the hell away from me on a regular basis. :-)"
313,161692,I've had to close my office which has resulted in a loss of income. I'm very stressed over this which is causing me to be very irritable with my family.
314,637050,"As a student, I have been sent home from campus which is making it difficult to work as most of my classes require me to work in the laboratory, which is rather difficult for me to do online. As I go home, it is difficult to get along with my relatives who I have to stay with in isolation and I cannot work due to the change in my classes being online in addition to the food industry being shuttered quite a bit more than usual. I am also isolated at home since I have an autoimmune condition and am medicated to have a suppressed immune system."
315,928169,I miss my friends and co-workers. I do not like isolation. I miss the structure of a routine by going to work as opposed to remote work.
316,298042,"The WFH hasn't been an issue since I tend to work from home anyway when I am not traveling (which is about 20% travel throughout the year). However, I am much more active and social after work than I am now. That has been an adjustment. Also I stay up later because I feel like in general things have slowed down so much that if I'm not at my desk right at a certain hour it probably doesn't matter much unless I have scheduled meetings."
317,509059,Hasn't affected me much as I'm usually at home anyways. It is annoying when I go grocery shopping and things I need to buy aren't available because it sold out.
318,451281,I work from home so work hasnt really changed much. I have not met my friends and have been social distancing for three weeks. I miss hanging out with them.
319,660855,No very much. I work in public health so IÂ´m close to the front line everyday working on solutions.
320,947504,"The only real effects it's had on me is because of other people overreacting. You can't do anything without hearing about it, and EVERYONE wants to tell you how they're reacting, whether they have any actual information or not and whether or not you care. I mean, knowing what sanitation measures you're taking is great if you run a business I physically go to and I need to know, but it's annoying when I have to sit through a two-or-three minute spiel from my bank, which I only ever use online or on the phone. Maybe make that stuff optional, so people who are worried can be reassured but people who just want to check their balance can go ahead and do that?

Even businesses that as far as I know don't have ANY in-person customers, like the website where my cat's microchip info is stored, have to send out emails to all their customers with the same empty platitudes about ""uncertainty"" and ""serving our customers"". Which is the other thing that annoys me. Most of the emails I get and the recorded spiels I listen to don't actually SAY anything. ""People are scared."" I know! ""These are uncertain times."" To the extent that that even means anything, again, I know! ""We are doing our best to serve our customers."" I assumed you were, being a business and all! Go into details, describe what's happening that's DIFFERENT from every other business on earth, or leave me alone!

The other major effect, also caused entirely by people overreacting, is the fact that I'm down to my last roll of toilet paper. What the hell is it with people hoarding toilet paper??

The change in my sleep schedule is more in spite of the virus than because of it. I used to get up at 10 for a Skype meeting with my boss, but he's constantly overbooked and acts like I'm being unreasonable for expecting him to show up for meetings HE scheduled and HE wants to have. After he blew me off five times in a row, including three in the same day because he kept rescheduling and then not even bothering to text, I put my foot down and we rescheduled the morning meetings for evenings when he's less busy. Ironically, if I'd put up with it another week until the quarantine, the problem might have gone away on its own - he's much less busy now and his itty-bitty brain sometimes actually remembers what few meetings he has left.

Social distancing has had virtually no effect on me because I'm already a hermit. If COVID-19 mutates to the point where it can be passed through cats, then I'll be in trouble, but I was already avoiding humans as much as I could."
321,471532,"I have had a much more demanding work schedule. Because everything has changed I know have to visit different retail stores to manage different sales teams. This means I have to commute much more when I'm out in the field.

When I'm not doing that then I have to work from home and attend at least double the managerial sales calls meetings. Managers are being asked to do much more at home to compensate for loss of in-store customer traffic.

I also have to spend more time with my spouse. I am at home more now and she is not going to attend to social activities. This means that when I can I also have to attend to her needs. I am much busier than I was before social distancing affected me."
322,515988,not at all
323,949262,Its made me feel lonely and vulnerable in some way
324,909387,My work is closed. I have been staying home and ordering groceries to be delivered.
325,237410,Changed my work hours
326,909385,it has stopped most of what i got going on
327,661287,"Quarantine has adversely affected my social life. I miss going out and spending time with my friends, supporting local bars, restaurants, bands, etc."
328,433292,"Terribly. I hardly sleep, I'm always restless, I am at high risk and high exposure. My boyfriend works in a grocery store (who I'm currently locked in with by choice) and has no PPE. I work for two doctors as a nanny and have no PPE even though they're treating 10 positive patients currently. My pay has been substantially decreased, even though my risk is so high. I'm also being treated like crap due to them being overworked and overstressed, as well as my performance taking a nosedive with how I'm being treated and how much more work *that has NOTHING to do with caring for the kids* is being thrown on me and how ungrateful/unappreciative & critical they are."
329,919011,"I avoid visiting my parents, I just take food and leave it on the doorstep. We talk on the phone. I avoid approaching older people"
330,144059,it really affect my general well being
331,529002,"Whenever I go outside I instantly start to dissociate due to being in the house all the time. Also when i have to grocery shop, I have to wake up early in the morning because that is when things are mostly stocked at the store. I've picked up a bad habit of eating when I am bored and I'm trying to control it. For work wise, my daily pay rate has gone down due to not having as many clients."
332,464775,"My partner is working from home for a bit, so I am able to sleep in most mornings which is great!"
333,835672,"Quarantine and social distance has made me feel more anxious and cautious around other people, including my friends and family. I also don't get to see my friends and family as much as before. We also miss my friend's birthday party because the party had to cancel."
334,446826,
335,800180,"It has meant staying in my house as much as possible. It has meant working from home, which in some ways is less stressful, since I do not have to drive 50 minutes each way to work. It has meant not spending time with friends and family, which I usually do once a week in normal times. It means being careful when I do go out, to not be near anyone if I can avoid it. It also means not having the normal social contacts at work that I usually have."
336,273056,Since schools are closed my children are home during the day now. I work from home so this has made it far more difficult to actually get work done during the day. As I get less work done my income has begun to drop.
337,610101,"I have been working from home, so that has been a major change. My daughter is home from school so we are making that adjustment."
338,599516,"Yes, I don't have to spend 3 hours in California traffic anymore so I am much less stressed out every day. The downside is that both of my parents are high risk but they won't stay inside so they're causing me stress now."
339,792605,i feel isolated from everyone half the time i work from home i help teach my two kids during the day and we stay away from everyone i miss everyone it is hard but worth it
340,495922,I am so sad.
341,827312,"IT FEELS SO STRANGE AND SURREAL, IT IS A DIFFERENT PLANET WE'RE ON RIGHT NOW IN OTHER WORDS OR SO IT FEELS LIKE."
342,939683,"I work at an art gallery and was never able to work from home before because I need to be in the gallery to open and close it for the day, and be able to have access to the artwork. The gallery is now closed and I am attempting to work from home. All of our planned events and travel for tradeshows are canceled. We aren't able to ship any items out because we are not an essential business and can't be open, so the gallery will be losing money."
343,693359,This the quarantine / social distancing does not affect me very much because I understand perfectly the meaning and usefulness of this measure and I chose to respect it precisely.
344,137570,"strip of West 25th Street, with high-end cocktail bars and beer gardens, alongside fashionable vegan bistros and gourmet farm-to-table restaurants. West Side Market has stalls for specialty foods like smoked meats, baked goods and"
345,248163,"Not very much. My bar I go to a few times a week has closed, but that's it. I'm a homebody 95% of the time I'm not at work, since it's 15 hour days between commuting and work."
346,362122,"It as only affect my job precisely, have just been staying indoor with family, not going to work just working from home, aside that nothing really change about me."
347,800220,The only effect so far has been the decrease in commissions because customers do not want me in their homes.
348,157668,"It's made me stay at home and work at home. I am more worried about my job and money than ever before, and I was already worried before the virus."
349,990646,healthy life
350,940823,"it has not been easy, one needs enough funds to survive this period."
351,133738,"Yes, because I cannot really leave my house unless we need food. I already telecommute from home, so it has not affected my financial or work situation."
352,159091,It has made me really bored
353,120994,My family and I cannot go out and enjoy social and recreational activities like we used to. My daughter cannot go to school.
354,277278,"So far social distancing has made life less enjoyable because basic things like meeting friends and going out to eat are now off limits. I'm still working, but my free time is a lot more free these days. I also have had to rethink and postpone many plans for travel in the coming months. Just a whole lot of uncertainty at the moment and that makes it hard to find a normal balance to daily life."
355,478920,"this period has been one of a kind. people are so scared every where, just one virus humbled the economy and got people on their toes and knees. there is more to life. i hope we all learn. may God grant us help from this."
356,531742,"i just cant go out. i work from home now, and i sleep just the same, just i cant go out. had to stock up quite a bit and were hunky dory"
357,123229,"It has almost crippled my finances, it has hamper my freedom of movement which is affecting me psychologically. Currently i do not have the words to express the level of discrepancy inn my life changes due to this quarantine."
358,172106,social distancing affected in daily working hours and friends meeting enjoyment and spending coworker and friend so affected possible.
359,685924,"My daughter lives with so I am not alone and totally isolated. I do talk with friends who live near me, as well as friends and family who live farther away at least every other day. I am on day 9 of shelter in place. The most annoying thing is planning for shopping and hoping that the items you need will be available because SOME people stockpile, which I think is very rude and unAmerican. I do feel lucky though because my Town has a great volunteer program they've put in place to help seniors with shopping so we don't have to go out, plus my neighbors are wonderful and always let each other know when they making a store run. The social distancing is good and when I do go out I absolutely am careful to keep it. My daughter tells me that they've placed tape on the floor in many stores now as a reminder."
360,117258,"I work from home & usually only go out 3-4 times a month so no real change in my day-to-day.

However, many of my scheduled events for the Spring/Summer have already been cancelled/postponed which has caused me some stress & sadness. Many of these events are with large groups of people & involve close contact so I have no idea if they will even occur at the rescheduled time. As I work from home & do very little socializing in my regular life I greatly look forward to these events. Not having them is causing me some additional stress & adding to my normal feelings of isolation"
361,416890,Real not much at all
362,553160,Quarantine is the one of that they were are not comes easily but it comes means stay for more so that only it has a many symptoms and then that are curable only but it is too danger .
363,204137,I don't go outside as much. I am staying home 23 hours out of the day. I feel a bit depressed being cooped up in my house all day.
364,505472,
365,615186,"it is has affect my job, gym and seeing my family because i am always at home"
366,583361,"it has affected me positively, i have time to rest more, stay with my family, sleep more, wake up at my convenient time and most especially do more sport at home."
367,223056,"The quarantine itself has not that much effect since we live already very rural and remote with very few neighbors. But the neighbors that we do have , we do not see anymore at this point and time. They are mostly older couples and we want to keep them safe. We keep in touch with texts , do their groceries and drop them at the beginning of their driveway.
The reason of the quarantine creates, of course, some stress and worries for the now but also for the future."
368,485203,The social distance that everyone of us is trying to maintain has not been affected me because i do follow all the procedures measure that we were told i do distance myself six feet distance i do avoid the person that cough additionally i make sure that i watched my hands almost 30 time in a day that is it
369,515662,Quaratine and social distancing has not affected me much. I am a delivery driver and continue much as I have before.
370,312894,It hasn't affected me at all. I'm not usually a social person at any time.
371,258566,now everyone affected covid-19 keep social distancing
372,878054,"It hasnt really affected me much as I am an introvert who works remotely. The only thing it has changed are my travel plans, as a conference I was going to go to in Mexico in May has been moved to May of 2021. I also worry about my elderly family members. I also wear a mask when I go to the store."
373,719852,"Felt Isolated and worried. Worked from home. Contacted office and clients via email and Skype. Also contacted family members via Phone and Skype. Stockpiled piles a lot of groceries, hand washer, and Mask. Keeping close watch eye on children and taking care of them. 0% Outside physical contact. Watching TV News Channel often. It's really feels like war time...."
374,305035,It doesn't
375,477893,"All my social events have been cancelled , I cant hang out with my friends , family or boyfriend , and I am at home all the time now ."
376,503344,"I had just gotten a job at the census and was about to do training, but then that fell through. I have had many friends cancel get togethers. I no longer go to the gym. I only leave my house about once a day to go for an isolated walk, or about once a week to the grocery store. I was unemployed before this, so the main difference is not going to the gym and not seeing friends. I feel like I am missing human contact. I gave my roommate a hug on her birthday a few days ago and it was weird, I miss hugs."
377,733523,It hasn't effected me too much since I work at a grocery store. The only thing is that I do worry about if I will get it and pass it on to others since I am in contact with quite a few people. Also been mainly talking to people online more.
378,965730,it has affected me a lot
379,398671,"Isolate isolates and limits the development of individuals who have been presented to an infectious ailment to whether they become wiped out. It endures sufficiently long to guarantee the individual has not gotten an irresistible sickness. Social separating is an approach to shield individuals from associating intently or as often as possible enough to spread an irresistible ailment. Schools and other get-together places, for example, cinemas may close,and games and strict administrations might be dropped. Think about the genuine danger of damage to yourself as well as other people around you. The open impression of hazard during a circumstance, for example, an irresistible malady flare-up is regularly erroneous. Media inclusion may make the feeling that individuals are in impending peril when actually the hazard for disease might be low."
380,315051,"it doesnot affects me much,it helps us to prevent the transmission of corona"
381,348776,I am now working from home. I do not go out at all other than for necessities. I grocery shop once a week. I do not see my friends at all.
382,966333,"I am used to social distancing. I have been doing it for years for a few different reasons. Honestly, I do not know why people have not practiced this sooner. I am concerned for others who are not practicing it as well, and some of it is through no fault of their own because of the obligations they have. There are others I know who could be much more careful, but they don't believe there is any danger and this could effect the health of others. I find this very frustrating."
383,368769,it did not affect me at all. i am an introvert
384,290254,The quarantine and social distancing has really changed the way my everyday life is now that the spread of the virus has affected most parts of the world. it makes me more conscious of my personal health and preventive measures to keep me healthy.
385,447644,Social distancing has not really affected me at this time. I still continue to walk to my grocery store to buy food per usual. I stay the same distance from people as I always have.
386,588502,"It has affected my schedules, catching up with social events. It has also affect how I relate with anyone, I try to be extremely cautious. Then, I worry about my family not getting the virus. It has also kept me indoor for quite a while."
387,676235,"I have just been feeling sad. I am a senior in college and my friends, job, in-person internship, boyfriend, and graduation have been taken away from me. I was a server, and my job was ordered closed by the government. Day by day my stress level increases because I still have to work on online classes AND online internship tasks AND try to make money through surveys/giveaways. Also, I live in NJ, which is the 5th smallest state but 2nd most coronavirus cases in the country. It is a very scary time. I have two parents that are over 60 that insist on going to the grocery store almost daily, and I am experiencing a cough. I haven't physically left my house in over a week. Things are not going well for me right now. I do talk to my friends on FaceTime and I am trying to make money, and I also get a lot more family time in than I did before."
388,434965,i cant work freely without a mask and hand sanitizer.
389,174622,im not been quarantined. im not infected and i never will be.
390,709328,possible
391,250229,I am worried about how long this will last. I can tell I am stressed and I am worried about getting it as that will add to the stress
392,989587,the quarantine is the very boring and the affected the my soical distancing an this society.
393,454790,I'm mostly concerned for my wife and children and want them to stay at home as much as possible. I'm working mostly from home with only infrequent visits to pick up and/or deliver work. I do most of the shopping now and am somewhat discouraged that stores do not have nearly as many goods as before the virus arrived. I am trying to remain positive and be a help to my family during this time of uncertainty.
394,298803,"I've been staying at my dad's house. But, I have been spending lots of time doing Mechanical turk, and also, exercising, studying, and reading. My days have been full and I have been doing well on the whole. I have also been drinking coffee every day which has kept my digestive health good. On the whole, I feel good right now. I am a bit nervous about the days to come, though, especially with regards to my parents."
395,462309,Nothing more than normal day. We just are always in quarantine.
396,823502,I have to stay at home more often.
397,141410,I have not been able to leave my house. I have more school assignments and I get bored very frequently.
398,182088,I have to still work full-time and take care of my kids. It is very hard balancing it all and social distancing. I am almost losing my mind.
399,548526,IT HASNT BECUASE PEOPLE ARENT TAKING IT SERIOUSLY
400,917665,I am working from home and I cannot do the things I used to do socially on weekends.
401,335443,Quarantine actually affected mentally as well as financially. But quarantine during the corona virus pandemic is really necessary to stay safe. So I am good with this social distancing.
402,580700,It has not affected me in much ways though...
403,622860,am not in quarantine
404,909287,not interested
405,587703,social distance keeping our safety
406,179105,NONE
407,494675,my femily situasan is very boor
408,293509,"SINCE THE SOCIAL DISTANCING, I HAVE BEEN REQUIRED TO WORK FROM HOME. I HAVE BEEN DISTANCING MYSELF FROM LARGE GROUPS AND ONLY GOING OUT AS NEEDED."
409,246155,"I have just affecting my routine, I am working that out a new routine"
410,145576,it has really affected my early morning exercise and taking a walk with my pet i do not go shopping anymore and i don't talk to neighbors for long time anymore
411,978779,"IT IS BORED, YOU CAN GET THINGS THE WAY YOU GET IT, YOU CANNOT MINGLE IN SOCIAL GATHERING AND AM SCARED OF THE DISEASE."
412,741028,IT HAS NOT AFFECTED ME AND MY FAMILY AT AL
413,207812,"I order my groceries for pickup. The only public places I have been in the last week are Petco and my pharmacy. At both places, I maintained distance between other patrons. We are not having guests over to our house. My son comes straight home and washes his hands (which is very new for him), he mostly stays in his room because he is concerned he will give it to me, as I am high risk. I cook all meals at home."
414,623596,"It makes it hard to sleep due to the fact that your body is rested when doing nothing indoors. At the same time you have no reason to get special care usage since everything is just about closed. No need to watch when i last eat or drink , no reason to make sure that lunch is made, or car has full gas etc. It also makes sleep a pain cause your so bored you want to stay up en you randomly wake up but the same time your not supposed to due to the fact you still have things to do and it has gotten to the point i have seperated my laundry by color or wash versus usually i do most in 1 load cause im just that bored"
415,184793,There have no effects as of yet. I do not go to crowded places and I only go to the store for food.
416,411523,I have had to move home from my university and now live at home with my family. This is a big adjustment from what I was expecting my last semester as an undergraduate student to look like. I am still adjusting and figuring out a new routine to complete classes online.
417,261539,"it has affected me away from normal day to day activities , but it is so important to to practice social distancing for the purpose of preventing the spread of covid19"
418,767208,it has affected my social life greatly.
419,673474,"I havent been able to work, were on a 15 day lock down right now and im home schooling my two kids, theyve been out of school for almost 2 weeks."
420,559151,It had given me ample time with my kids and husband. It has made me more aware in the store when getting groceries to distance from other shoppers. The lack of food in the stores has been odd. I think I am aware of everyone when they sneeze or cough. Not being able to work is really strange. Just the overall feeling of uncertainty on how all this is going to work out. Extremely worried about my daughter who is a paramedic and ER nurse. Keeping in touch with family members over face time or skype rather than in person is odd too.
421,951142,"I and my elderly parents are all high risk, so we are on lockdown, nobody in, nobody out and when stuff gets dropped off, I wipe it down with bleach before it gets put away....I'm worried to death...no so much about the virus, but about the economic collapse that is coming because of it."
422,146326,I no longer take my dog out for walks.
