"participant_id","occasion_id","group","b_demo_age_1","b_demo_gender_1","b_demo_education_1","b_demo_work_1_rec","b_demo_kids_1_rec","b_corona_risk_1","app_group","b_igts_belief","b_igts_prefer","f_install","f_install_reason_1","f_install_other_1","f_app_risk","f_app_risk_other","f_bluetooth","f_install_reason_2","f_install_other_2","f_install_reason_3","f_install_other_3","f_advertisement","f_app_relevant_information","f_first_nonNA","f_fst_chng_2or3_to_1","f_ever_installed","f_app_risk_once","f_install_other_1_coded","f_install_other_1_coded_new","f_install_other_3_coded","f_install_other_3_coded_new"
822,35954,2,69,2,16,"Sonstiges",1,1,1,5,5.5,1,"1, 2",NA,4,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
823,1924,1,30,2,18,"Voll erwerbstätig",0,1,1,3.8,4.75,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
825,42607,2,39,2,20,"Voll erwerbstätig",0,1,1,4,3.75,1,"6","Infektionszahlen steigen leicht+Sommerferienende in meinem Bundesland, habe jetzt Platz auf dem Handy geschaffen und mich mit der Position des CCC zur App befasst. zur App ",1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,"10, 4","D, A","",""
826,77599,2,35,1,13,"Voll erwerbstätig",1,2,1,1.2,3.25,1,"1, 4",NA,2,NA,3,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
829,87692,2,58,2,13,"Voll erwerbstätig",1,2,1,3.2,5.75,1,"1, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
830,19312,2,43,2,23,"Voll erwerbstätig",0,2,1,4.8,5.25,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
832,90679,2,33,2,17,"Nicht erwerbstätig",1,2,1,3.2,3.25,1,"1",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
838,24907,2,54,2,20,"Voll erwerbstätig",1,2,1,4.6,4.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
841,58566,2,64,2,NA,"Voll erwerbstätig",0,2,1,3.6,5,1,"1, 5",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
843,54049,1,43,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,3.2,4.75,1,"2, 3, 6","Ich HOFFE, dass eine konsequente Nutzung erfolgt und zur Eindämmung beitragen kann. Eindämm",2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,"D","D","",""
847,96611,1,57,1,18,"Voll erwerbstätig",0,2,1,6,6,1,"1, 5",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
849,70127,2,21,1,14,"in Ausbildung",0,2,3,4.2,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
850,15658,1,56,2,16,"Voll erwerbstätig",1,2,2,4.6,5.25,2,NA,NA,NA,NA,NA,NA,NA,"1, 4, 8","Mißtrauen gg. den Staat",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","3","A"
852,13393,1,39,1,18,"Voll erwerbstätig",1,2,2,6.2,5.5,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
855,113445,1,36,2,18,"Voll erwerbstätig",0,2,2,5.6,2.5,2,NA,NA,NA,NA,NA,NA,NA,"4, 8","Warte darauf, dass die ersten Kinderkrankheiten der App entdeckt und beseitigt werden.",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","7","E"
856,73763,1,41,2,21,"Voll erwerbstätig",0,2,1,5.2,5.5,1,"1, 2, 4",NA,1,NA,3,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
859,23557,1,55,2,19,"Voll erwerbstätig",1,2,1,5.8,4.5,1,"1, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
861,13456,1,35,2,21,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,1,1,4.8,6,1,"1, 2, 4",NA,4,NA,3,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
863,44558,1,56,2,23,"Sonstiges",1,1,2,3.6,4.5,2,NA,NA,NA,NA,NA,NA,NA,"8","für die Corona-App ist ein google-Konto Voraussetzung. Das habe ich nicht, weil ich dem Datenkraken keine Daten von mir zur Verfügung stellen will und deshalb ein Costum-ROM auf meinem Smartphone habe",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","A, 1","A, "
864,94757,2,22,2,15,"in Ausbildung",0,2,1,5.8,6.25,1,"2",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
865,76954,1,21,2,14,"in Ausbildung",0,2,2,5.2,3.5,2,NA,NA,NA,NA,NA,NA,NA,"2",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
870,45940,1,60,2,13,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.2,4.25,1,"2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
872,2975,2,45,1,17,"Voll erwerbstätig",0,2,1,3.8,5.75,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
873,30374,1,67,1,14,"Sonstiges",1,2,1,4.8,5.25,1,"1, 2, 4",NA,4,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
875,96337,1,26,2,15,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,2,4,3.5,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
876,66772,1,46,1,16,"Sonstiges",1,1,1,3.6,2.5,1,"1, 2, 4",NA,2,NA,3,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
879,110778,1,42,1,25,"Nicht erwerbstätig",0,1,1,3,3.75,1,"1, 2, 3, 4, 5",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
880,48998,1,51,2,17,"Voll erwerbstätig",1,2,1,4.8,6,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
881,110501,2,70,2,13,"Nicht erwerbstätig",0,2,2,3.6,4.75,2,NA,NA,NA,NA,NA,NA,NA,"8","Mein Smartphone nimmt diese App nicht an",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","1",""
883,83770,1,42,2,16,"Voll erwerbstätig",0,2,2,3.8,4,2,NA,NA,NA,NA,NA,NA,NA,"2, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
884,6117,2,43,2,19,"Voll erwerbstätig",0,2,1,5.4,6,1,"2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
887,65297,1,47,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,3.4,4.5,1,"1",NA,1,NA,3,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
888,634,2,22,2,16,"in Ausbildung",0,2,1,3.8,4.5,1,"1, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
892,12811,1,20,2,13,"in Ausbildung",0,2,2,5.6,4.25,2,NA,NA,NA,NA,NA,NA,NA,"4, 5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
897,24145,2,33,2,18,"Voll erwerbstätig",0,2,1,3.6,3.75,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
903,20420,2,37,2,17,"Sonstiges",1,1,1,1,2.25,1,"4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
906,105592,1,21,2,14,"in Ausbildung",0,2,1,3.8,2.25,1,"1, 2, 4",NA,2,NA,2,"2",NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
907,27103,2,75,2,13,"Sonstiges",1,2,2,5.4,5,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,1,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
909,52116,2,30,2,18,"Voll erwerbstätig",0,1,1,4,3.75,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
911,92127,1,77,1,19,"Nicht erwerbstätig",1,2,1,4.6,5,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
912,33056,1,71,2,13,"Sonstiges",1,1,2,4,1.75,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
915,81203,1,21,2,14,"in Ausbildung",0,2,1,4,4.25,1,"1, 2, 3, 4",NA,2,NA,2,"7","Ich habe mich zu Hause aufgehalten",NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
916,8770,2,27,1,NA,"in Ausbildung",0,2,2,3,4.75,2,NA,NA,NA,NA,NA,NA,NA,"1, 2",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
919,112178,1,56,2,13,"Voll erwerbstätig",1,2,1,4.6,5.25,1,"1, 4",NA,1,NA,2,"7","Akku leer Dank App, Übermittlung funktioniert nicht, Fehler 3",NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
925,105525,1,52,1,13,"Voll erwerbstätig",0,2,2,3.8,4.5,2,NA,NA,NA,NA,NA,NA,NA,"2",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
927,34324,2,28,2,18,"in Ausbildung",0,2,1,5,5.5,1,"1, 2, 3, 4, 5",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
928,58017,1,80,NA,15,"Sonstiges",NA,2,1,6.4,5.5,1,"2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
930,85353,1,41,2,16,"Voll erwerbstätig",0,1,1,5.8,4.75,1,"1, 4",NA,2,NA,2,"7","Ich war allein zuhause ",NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
935,53317,2,36,2,25,"Voll erwerbstätig",0,2,2,5.8,4.75,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
938,80874,1,35,2,NA,"Sonstiges",1,2,2,4.2,4.75,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
941,14198,2,43,2,21,"Voll erwerbstätig",1,2,2,3.2,5,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
944,26282,1,71,2,17,"Sonstiges",0,2,1,3.8,7,1,"1, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
946,9073,2,50,2,NA,"Voll erwerbstätig",0,2,1,3.6,3.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
950,5040,2,28,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,5,5.75,1,"2, 3, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
956,87267,2,45,1,22,"Voll erwerbstätig",1,2,1,5,5.5,1,"1, 2, 4, 5",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
960,28515,1,39,1,23,"Voll erwerbstätig",1,2,1,5.8,5.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
964,26213,2,27,2,13,"Voll erwerbstätig",0,2,2,4.2,4.25,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
965,112111,1,56,1,11,"Voll erwerbstätig",0,2,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,"5, 8","Kein Bock auf Quarantäne ",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","9a","K"
966,7439,1,25,3,17,"in Ausbildung",0,2,2,1,5.25,2,NA,NA,NA,NA,NA,NA,NA,"8","Ich wusste nicht, dass es so was gibt.",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","14b","E"
967,82604,2,59,2,19,"Voll erwerbstätig",0,2,1,6,5,1,"1, 4, 5",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
969,19016,2,42,2,16,"Voll erwerbstätig",0,2,1,3.4,3,1,"1",NA,2,NA,2,"1",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
974,14354,2,32,1,NA,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,2.8,5.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
975,115855,2,18,1,12,"in Ausbildung",0,2,1,5.4,6.25,1,"2, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
978,63906,1,32,2,19,"Nicht erwerbstätig",1,2,1,3.4,4.25,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
981,87828,1,66,1,11,"Sonstiges",1,2,1,5.4,7,1,"1, 3, 4, 5",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
984,111593,1,61,2,NA,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5,4.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
987,84329,1,61,1,15,"Sonstiges",1,2,1,5.6,5.25,1,"1, 2, 3, 4, 5",NA,4,NA,2,"7","Vergessen einzuschalten ",NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
988,30681,2,64,2,NA,"Sonstiges",1,2,1,5.2,3.75,1,"1, 2",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
989,17848,1,43,2,18,"Voll erwerbstätig",0,1,1,3.8,4.25,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
991,105960,2,50,1,18,"Voll erwerbstätig",0,2,2,4.8,4.5,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
992,52621,2,24,2,17,"in Ausbildung",0,2,2,4.6,6.5,2,NA,NA,NA,NA,NA,NA,NA,"8","Es wird angezeigt, dass die App in meinem Land nicht vergügbar ist, obwohl ich in Deutschland bin und mein Handy auf  Deutschland als Region eingestellt ist",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","19","G"
996,104110,1,59,2,10,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,4.6,4,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
999,92313,2,48,1,21,"Voll erwerbstätig",0,2,2,4,4.5,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1003,113337,1,22,2,13,"Voll erwerbstätig",0,2,1,5.4,5.25,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1004,95247,2,69,2,25,"Nicht erwerbstätig",1,1,1,4.6,3.25,1,"1, 2",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1007,43509,2,28,2,20,"Voll erwerbstätig",0,2,1,5.8,5,1,"1, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1008,55729,2,27,2,20,"Sonstiges",0,2,2,5.2,3.5,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1015,117614,1,37,2,12,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,2,5.2,5.25,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1018,93187,1,60,2,24,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.6,5.25,1,"1, 2, 3, 4",NA,1,NA,2,"7","ich schalte nur ein, wenn ich das Haus verlasse",NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1022,57674,1,51,2,17,"Voll erwerbstätig",0,2,1,4.4,4.75,1,"1",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1023,16838,2,33,2,21,"Nicht erwerbstätig",1,2,1,5.2,4.75,1,"1",NA,2,NA,2,"6",NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1024,39523,2,29,2,23,"in Ausbildung",0,2,2,4.8,5.5,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1037,29257,2,71,2,20,"Sonstiges",1,1,2,NA,5,2,NA,NA,NA,NA,NA,NA,NA,"2, 8","werde es aber noch installieren",1,TRUE,TRUE,FALSE,FALSE,FALSE,"","","13","E"
1038,118006,2,28,2,19,"in Ausbildung",0,2,2,4.4,4.75,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1048,48847,2,31,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,2,5,5.5,2,NA,NA,NA,NA,NA,NA,NA,"1, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1049,31420,1,49,1,22,"Voll erwerbstätig",1,2,1,5.2,5,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1052,53731,1,43,2,18,"Voll erwerbstätig",0,2,1,6.2,4.75,1,"4",NA,4,NA,2,"2",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1055,48365,1,26,2,20,"in Ausbildung",0,2,1,4.6,4.5,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1056,85046,1,20,2,14,"in Ausbildung",0,NA,1,4.4,4,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1057,17934,2,26,2,13,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,2,4.4,4,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1059,92786,2,41,2,24,"Voll erwerbstätig",0,2,1,3,2.25,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1063,28144,1,66,2,10,"Sonstiges",1,1,1,4.6,6.25,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1066,85673,2,46,2,24,"Sonstiges",0,1,1,4.4,4.5,1,"1, 2, 3, 4, 6","Ich fühle mich dadurch sicherer und möchte so früh wie möglich reagieren können, wenn ich mich infiziert haben könnte.",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,"12","E","",""
1067,4249,1,45,2,16,"Sonstiges",1,2,1,3.2,4,1,"2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1071,57247,2,58,2,27,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,NA,2,7,6.25,2,NA,NA,NA,NA,NA,NA,NA,"1, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1076,117834,1,38,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,2,3.6,3,2,NA,NA,NA,NA,NA,NA,NA,"1, 2, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1080,70800,1,43,2,16,"Voll erwerbstätig",0,2,1,4.8,4,1,"1, 5",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1083,107415,2,34,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,2,4,4.75,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1088,9390,1,40,2,NA,"Sonstiges",0,1,2,3.4,3.5,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1090,116853,1,56,2,18,"Voll erwerbstätig",1,2,1,5,5,1,"2",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1094,77911,2,40,2,23,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,2,4,3.75,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1095,101085,2,28,2,18,"in Ausbildung",0,2,2,4.4,4.75,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1097,110654,2,56,2,15,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,1,1,5,5.75,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1099,17316,2,48,2,20,"Voll erwerbstätig",0,2,2,4.2,5.75,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1100,32658,2,75,1,21,"Sonstiges",1,1,2,4,4.5,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1103,6017,2,26,2,13,"in Ausbildung",0,2,1,5.2,6.25,1,"2",NA,4,NA,2,"2, 4",NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1107,64009,2,34,2,18,"Voll erwerbstätig",0,2,2,5.8,4.5,2,NA,NA,NA,NA,NA,NA,NA,"2, 4, 6",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1109,118256,1,23,2,NA,"in Ausbildung",0,2,1,4,3.75,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1110,20196,1,32,1,26,"Voll erwerbstätig",1,2,2,4.6,5.25,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1113,116469,2,24,1,17,"in Ausbildung",0,2,1,3.6,3.75,1,"1, 3, 4, 5",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1115,97090,1,50,2,23,"Voll erwerbstätig",NA,2,1,4.4,3.75,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1116,39421,1,46,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,4.2,5.75,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1118,18627,2,55,2,10,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,3.4,2.5,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1119,88683,1,53,2,23,"Voll erwerbstätig",1,2,2,3.6,4.25,2,NA,NA,NA,NA,NA,NA,NA,"2, 8","Ich möchte nicht immer online sein, wenn ich unterwegs bin.",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","11a","L"
1120,110988,1,33,2,14,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,2.4,2.75,1,"2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1121,34646,1,50,2,19,"Voll erwerbstätig",1,1,2,4.6,6.25,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1122,62636,1,38,2,NA,"Voll erwerbstätig",0,2,1,4,2.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
1124,85748,2,51,2,13,"Voll erwerbstätig",1,2,2,2.8,4.25,2,NA,NA,NA,NA,NA,NA,NA,"1, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
